CLASS,NOUN_NOUN,NOUN_ADJ,NOUN_VERB,NOUN_ADV,ADJ_NOUN,ADJ_ADJ,ADJ_VERB,ADJ_ADV,VERB_NOUN,VERB_ADJ,VERB_VERB,VERB_ADV,ADV_NOUN,ADV_ADJ,ADV_VERB,ADV_ADV,NOUN_NOUN_,NOUN_ADJ_,NOUN_VERB_,NOUN_ADV_,ADJ_NOUN_,ADJ_ADJ_,ADJ_VERB_,ADJ_ADV_,VERB_NOUN_,VERB_ADJ_,VERB_VERB_,VERB_ADV_,ADV_NOUN_,ADV_ADJ_,ADV_VERB_,ADV_ADV_
entailment,28.64509261,1.631951049,9.032563686,0,6.144411981,0.127508432,0,0,4.677207112,0.303175807,2.09162879,0,0,0,0,0,0.954545455,0.318181818,0.272727273,0,0.318181818,0.045454545,0,0,0.272727273,0.045454545,0.045454545,0,0,0,0,0
entailment,26.67130001,3.984222949,4.437696636,0,2.492922723,8.615626812,0,0,9.88784492,0,2.011043608,0,0,0,0,0,0.857142857,0.19047619,0.19047619,0,0.19047619,0.095238095,0,0,0.476190476,0,0.095238095,0,0,0,0,0
contradiction,14.88061917,1.824591637,3.687874317,0,5.383793592,1.300978422,3.665578008,0,1.199860811,0.347016901,3.661071062,0,0,0,0,0,0.333333333,0.055555556,0.166666667,0,0.166666667,0.111111111,0.111111111,0,0.055555556,0.055555556,0.055555556,0,0,0,0,0
contradiction,7.112267256,0,4.998954013,0,3.913143873,0,0,0,4.153235912,0,7.057169348,0,0,0,0,0,0.16,0,0.28,0,0.12,0,0,0,0.12,0,0.32,0,0,0,0,0
neutral,14.62362272,0,1.083490767,0,1.657800853,0,0,0,3.077783287,0,1.261640653,0,2.265015662,0,0.411896735,0,0.583333333,0,0.333333333,0,0.166666667,0,0,0,0.25,0,0.166666667,0,0.166666667,0,0.083333333,0
neutral,25.85721844,0,7.574536547,0,3.232500136,0,0.040094014,0,10.35205007,0,3.342329394,0,0.978198469,0,1.086992286,0,0.4375,0,0.3125,0,0.0625,0,0.03125,0,0.25,0,0.21875,0,0.03125,0,0.09375,0
neutral,14.0053086,0,2.852440596,0,2.417730808,0,0,0,3.293390334,0,2.596376657,0,0,0,0,0,0.769230769,0,0.230769231,0,0.153846154,0,0,0,0.230769231,0,0.076923077,0,0,0,0,0
entailment,16.69652426,2.748271465,3.371956348,0,1.194057733,8.372845411,0.908582628,0,18.39312676,1.229884267,4.098049343,0,0,0,0,0,0.611111111,0.111111111,0.166666667,0,0.111111111,0.111111111,0.055555556,0,0.611111111,0.055555556,0.222222222,0,0,0,0,0
neutral,8.488348961,4.910164297,1.962857239,0,0,0,0,0,1.651495993,0.902464449,1.6735202,0,0,0,0,0,0.230769231,0.153846154,0.307692308,0,0,0,0,0,0.153846154,0.076923077,0.153846154,0,0,0,0,0
entailment,58.80942976,0,7.037020862,0,15.45323539,0,2.091104448,0,6.181877375,0,1.719080567,0,0,0,0,0,0.965517241,0,0.24137931,0,0.379310345,0,0.103448276,0,0.137931034,0,0.068965517,0,0,0,0,0
