CLASS,NOUN_NOUN,NOUN_ADJ,NOUN_VERB,NOUN_ADV,ADJ_NOUN,ADJ_ADJ,ADJ_VERB,ADJ_ADV,VERB_NOUN,VERB_ADJ,VERB_VERB,VERB_ADV,ADV_NOUN,ADV_ADJ,ADV_VERB,ADV_ADV
entailment,30.49648762,1.631951049,9.577687502,0,6.800851107,0.239603393,0.642470375,0,5.455381513,0.417394161,2.329567716,0,0,0,0,0
entailment,28.43077837,4.509986937,5.257172376,0,4.513305649,8.615626812,0.355380177,0,11.05841058,1.788770795,2.480297536,0,0,0,0,0
contradiction,16.5722238,2.372668087,5.897129953,0,6.094870657,1.392651983,3.665578008,0,1.746274769,0.347016901,3.661071062,0,0,0,0,0
contradiction,7.845477045,0,5.409675989,0,3.913143873,0,0.30463703,0,4.153235912,0,7.057169348,0,0,0,0,0
neutral,15.29767746,0,1.083490767,0,2.219383299,0,0.207801424,0,3.077783287,0,1.261640653,0,2.668364346,0,0.411896735,0
neutral,25.85721844,0,8.041844686,0,3.232500136,0,0.040094014,0,12.87018639,0,5.067331385,0,1.411115915,0,1.086992286,0
neutral,15.60406408,0,2.941710241,0,3.042817429,0,0.128068745,0,3.293390334,0,2.596376657,0,0,0,0,0
entailment,18.46255073,4.107095867,3.845694155,0,2.7290847,8.372845411,0.908582628,0,20.1826431,2.869497478,4.098049343,0,0,0,0,0
neutral,10.16676874,5.680261523,2.158062442,0,0,0,0,0,1.651495993,0.902464449,1.6735202,0,0,0,0,0
entailment,64.73239928,0,7.883866459,0,17.913827,0,2.555210173,0,7.185226381,0,1.719080567,0,0,0,0,0
neutral,7.528532386,3.366843343,0.58895456,0,7.057857633,6.46560061,2.624793477,0,2.180588216,1.068523884,1.686837554,0,0,0,0,0
contradiction,21.08974545,0,4.440200239,0,6.278942108,0,1.664691642,0,2.164191216,0,1.354373336,0,0,0,0,0
entailment,2.832832098,0,0.857145946,0,0,0,0,0,0.721783772,0,9.823633194,0,0,0,0,0
contradiction,15.44942307,0,6.729290664,3.885399908,1.272325218,0,0.426076472,0.440534949,1.415357783,0,2.162590027,1.201322079,0,0,0,0
neutral,47.6063531,12.89850292,8.173758566,0,8.720339745,4.604392976,1.150494009,0,12.02698849,0.898992062,9.263088316,0,0,0,0,0
neutral,18.57021391,0,0.210320607,0,0,0,0,0,7.441346318,0,0.34408465,0,0,0,0,0
entailment,14.95871943,0,5.705801385,0,6.380340248,0,8.370942838,0,3.192246675,0,8.485384166,0,0,0,0,0
contradiction,9.06740962,0,1.367391046,0,0,0,0,0,4.515946627,0,0.68328052,0,0,0,0,0
contradiction,10.79939425,2.628730953,0.584558263,0,4.981396437,5.320104241,0.193420783,0,2.553468943,1.305927277,2.280354857,0,2.933309376,0.934244215,1.666535735,0
entailment,44.48245627,0,10.09124923,0,22.25703827,0,0.981018778,0,10.57323804,0,11.71219959,0,0,0,0,0
entailment,13.77307686,0,3.696566463,0,4.295568496,0,1.225270987,0,1.669436008,0,1.946669459,0,0,0,0,0
entailment,23.59906283,0,7.902492559,0,10.33775091,0,1.695658589,0,2.392382264,0,1.389416099,0,0.420825273,0,0,0
neutral,7.872893482,1.445945039,4.376760006,0,1.950165629,0.203375548,1.58180815,0,0.774988532,0,0.83100516,0,0,0,0,0
contradiction,16.04103956,0,0.349290103,2.921662658,0,0,0,0,1.61833334,0,0.16058138,0.910371065,0,0,0,0
entailment,10.84719396,0,2.278975766,0,5.864530504,0,2.616278347,0,1.875636935,0,2.58227456,0,0,0,0,0
neutral,23.02705918,13.91777307,0.282349966,0,8.539404899,14.88521597,0.05403072,0,2.712108731,2.41171281,0.280433588,0,3.978459492,3.207306057,0.119237404,0
entailment,6.622593388,0,2.721339107,0,2.178765088,0,0.401096821,0,1.749497175,0,2.13054347,0,0,0,0,0
entailment,28.51259512,0,3.255799733,0,1.849509716,0,0.750178106,0,2.824988008,0,2.138986692,0,0,0,0,0
entailment,17.19752475,0,0,0,0,0,0,0,0.44079411,0,0,0,0,0,0,0
neutral,6.629806638,0,1.238168206,0,0.914816171,0,0,0,2.028967232,0,0.437939126,0,0,0,0,0
neutral,10.17826688,2.122301985,2.390912771,0,0.941607118,4.92542696,1.161370158,0,1.961309612,1.34154591,3.074267149,0,0,0,0,0
contradiction,3.350708097,0,0.161343627,6.646410614,1.708918691,0,0.043559205,0.453588493,0,0,0.048234075,2.158980913,0.45887357,0,0.243927516,8.573846519
contradiction,44.89565217,0,6.363122106,0,13.39879301,0,1.277795136,0,2.781208336,0,1.3247087,0,0,0,0,0
entailment,1.580998182,0,1.61843106,1.486906931,0,0,0,0,3.418924093,0,1.724339671,0.683814645,0,0,0,0
contradiction,13.34925371,0,5.079550803,5.249600768,8.215821266,0,2.085449755,2.625078321,3.587565616,0,4.769130707,4.446508408,0,0,0,0
neutral,30.2036798,11.2848312,4.527757585,0.777114511,13.84092379,6.846113324,1.843567669,0,10.15680611,3.750333339,16.23981559,2.863207906,14.27612734,4.531799614,15.16200107,5.569540143
entailment,22.13710284,0,0.1001874,0,0,0,0,0,0.543215334,0,0.04592805,0,0,0,0,0
neutral,16.16845003,0,2.900502462,0,0,0,0,0,3.157959878,0,3.562965631,0,0,0,0,0
neutral,43.08659929,22.3345889,0.582127176,0,16.43178636,18.08602303,0,0,0,0.21510537,0.099258468,0,0,0,0,0
entailment,24.20095462,7.021566361,7.662423605,0,7.125284731,1.558010131,2.836994186,0,4.680986285,0.705320001,4.511335954,0,0,0,0,0
neutral,3.817774862,3.743475914,3.834875304,0,0,0,0,0,0.176713437,1.900393248,1.432791911,0,0,0,0,0
neutral,9.60706389,2.160687447,0.842036277,0,2.597147822,5.888175488,0.068251029,0,1.662638381,0,1.344281361,0,0,0,0,0
contradiction,13.22928618,4.103140414,0.142035495,2.563888252,0,0,0,0,2.83041355,1.804518759,0.103237253,0.801176786,0,0,0,0
neutral,24.05299222,0,2.768789705,0,12.00671333,0,2.447052643,0,2.6074664,0,3.570728034,0,0,0,0,0
entailment,10.58545497,0,3.438495796,11.8127141,4.517248094,0,2.283321969,5.941913605,4.55217275,0,2.051405758,7.196821451,0,0,0,0
neutral,15.62237535,0,7.089424461,1.312658429,0.763734654,0,0.315859795,0.107202262,1.430312127,0,0.780040979,0.08911413,0,0,0,0
neutral,38.60829771,7.512885809,4.298960745,0,15.00771147,4.018395722,2.06787017,0,4.246239483,0.865061462,1.856212437,0,0,0,0,0
entailment,8.904246807,0,3.692372046,0,2.944977999,0,1.127844527,0,2.043959379,0,4.099507265,0,0,0,0,0
contradiction,22.10866368,5.678264827,0.295868501,0,4.450279132,0.569156647,0,0,9.467601568,3.46394524,0.254207872,0,3.048028961,1.562180519,0.071531126,0
neutral,14.66620833,6.72972168,0,0,0.309189916,0.547424376,0,0,2.828194827,2.242586724,0,0,1.782266974,1.087188959,0,0
entailment,23.59093285,0,9.67055577,0,0,0,0,0,3.418154538,0,3.448587418,0,0,0,0,0
entailment,29.543455,5.696375966,11.89013764,8.148936749,30.10281429,11.13060272,4.707657361,10.67014885,0.986702085,0,3.02572529,0,0,0,0,0
neutral,9.881005943,0,2.079896659,1.02904281,0,0,0,0,4.098206609,0,1.705955863,1.385760784,0,0,0,0
entailment,14.20522708,0,5.976940602,0,3.095981777,0,1.047748655,0,0,0,0,0,0,0,0,0
contradiction,9.355343185,0,2.275256217,0,0,0,0,0,3.068412334,0,3.409422398,0,0,0,0,0
entailment,19.11060596,0,1.611890897,0,4.316266716,0,1.297324955,0,3.029425204,0,4.115218759,0,0,0,0,0
entailment,2.569202155,0,0,0,0,0,0,0,0,0,0,0,1.121912859,0,0,0
neutral,22.90815413,0,1.638712965,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,17.67347479,5.882865787,0.282289427,0,3.161260009,0.734306872,0.070554048,0,4.900922239,0.614980102,0.129135683,0,0,0,0,0
neutral,27.76912928,8.146577559,10.50442643,0,15.65131927,8.319286779,6.994560517,0,10.28969729,2.000562221,13.09828494,0,0,0,0,0
neutral,15.5440229,0,0.071077142,0,2.61370793,0,0,0,1.898821592,0,0.087536603,0,0,0,0,0
neutral,8.801247299,0,0.082205065,0,2.638926595,0,0.067982946,0,1.156052053,0,0.152466699,0,0,0,0,0
neutral,44.70789129,0,3.15444872,0,5.648890942,0,0.016283659,0,8.95219402,0,5.645737603,0,0,0,0,0
entailment,6.426000744,0,0.224670202,4.296280622,1.602679819,0,0.109365813,1.421910107,0.78675127,0,0.117971398,0.51493305,0,0,0,0
entailment,61.5978511,23.46610594,18.82180995,0,38.70645529,20.84224588,9.067275405,0,17.73303391,7.015204094,7.40814504,0,13.14244616,4.151886046,7.270638466,0
