CLASS,NOUN_NOUN,NOUN_ADJ,NOUN_VERB,NOUN_ADV,ADJ_NOUN,ADJ_ADJ,ADJ_VERB,ADJ_ADV,VERB_NOUN,VERB_ADJ,VERB_VERB,VERB_ADV,ADV_NOUN,ADV_ADJ,ADV_VERB,ADV_ADV,NOUN_NOUN_,NOUN_ADJ_,NOUN_VERB_,NOUN_ADV_,ADJ_NOUN_,ADJ_ADJ_,ADJ_VERB_,ADJ_ADV_,VERB_NOUN_,VERB_ADJ_,VERB_VERB_,VERB_ADV_,ADV_NOUN_,ADV_ADJ_,ADV_VERB_,ADV_ADV_
entailment,13.152703583240509,0.28043466806411743,2.1802423000335693,0,1.6096103191375732,0,0,0,0,0.30317580699920654,2.0916287899017334,0,0,0,0,0,7,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
entailment,13.56520426273346,0,2.1349904537200928,0,0,8.615626811981201,0,0,3.2705461978912354,0,1.4106248617172241,0,0,0,0,0,5,0,1,0,0,2,0,0,2,0,1,0,0,0,0,0
contradiction,7.122341156005859,1.8245916366577148,0,0,0,0,0,0,0,0,3.6610710620880127,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
contradiction,4.378632903,0,0,0,0,0,0,0,0,0,5.676956221461296,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
neutral,11.512165069580078,0,0,0,0,0,0,0,0,0,1.261640653014183,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
neutral,10.821305990219116,0,3.7083994150161743,0,2.267704963684082,0,0,0,0,0,0.11806055903434753,0,0,0,0.092674188,0,3,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0
neutral,8.813451647758484,0,0,0,0,0,0,0,0,0,2.596376657485962,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
entailment,7.737090468406677,0,0,0,0,6.320044040679932,0,0,3.9785938262939453,0,2.187359333,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
neutral,7.4390106201171875,3.9976871013641357,0,0,0,0,0,0,0,0,1.6735201999545097,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
entailment,26.582868099212646,0,3.315383791923523,0,2.4627487659454346,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
neutral,3.851238489151001,0,0,0,3.2257237434387207,4.7473626136779785,0.14790840446949005,0,0,0,1.0179857015609741,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
contradiction,9.831262350082397,0,1.5763686895370483,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
entailment,2.832832098007202,0,0,0,0,0,0,0,0,0,5.800475090742111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
contradiction,9.16638732,0,0,0,0,0,0,0,0,0,2.1625900268554688,1.201322078704834,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
neutral,20.954077005386353,9.672872543334961,0,0,0,0,0,0,7.4576826095581055,0,8.926045179367065,0,0,0,0,0,7,4,0,0,0,0,0,0,3,0,4,0,0,0,0,0
neutral,12.648654222488403,0,0,0,0,0,0,0,0,0,0.24826110899448395,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
entailment,12.393784761428833,0,0,0,0,0,2.330298424,0,0,0,5.017128884792328,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
contradiction,8.93951416,0,1.0553902760148048,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
contradiction,7.783972263336182,0,0,0,0,4.021113395690918,0,0,0,0,0,0,0,0,1.666535735,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
entailment,17.65741991996765,0,0,0,2.793314218521118,0,0,0,0,0,6.408144712,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
entailment,7.702963590621948,0,0,0,0,0,0,0,0,0,1.618172526359558,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
entailment,10.336323976516724,0,2.9243782982230186,0,2.42199707,0,0,0,0,0,0.1396418809890747,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0
neutral,5.748511314,1.0813508033752441,2.194262996315956,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
contradiction,9.633960008621216,0,0,1.2528036832809448,0,0,0,0,0,0,0.16058138012886047,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
entailment,9.650469779968262,0,0,0,0,0,2.564713716506958,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
neutral,12.087180495262146,2.810610533,0,0,2.810610533,13.721322059631348,0,0,0,0,0.22976097464561462,0,0,0,0,0,5,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0
entailment,5.0736342668533325,0,0,0,0,0,0,0,0,0,2.1305434703826904,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
entailment,14.874421834945679,0,0,0,0,0,0,0,0,0,2.1389866918325424,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
entailment,8.054714679718018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,3.6641018390655518,0,0.5752156376838684,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,7.527708292007446,0.29236897826194763,0,0,0,4.925426959991455,0,0,0,0.25200724601745605,3.0742671489715576,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
contradiction,2.793856382369995,0,0,0.5620664358139038,0,0,0,0,0,0,0,0,0,0,0.13111187517642975,4.668236613273621,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
contradiction,23.92706024646759,0,3.8728435039520264,0,6.266352415084839,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
entailment,0,0,0,0.7146703600883484,0,0,0,0,3.418924093,0,1.724339671432972,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0
contradiction,3.5670443773269653,0,0,0,5.454672336578369,0,0,0,0,0,3.3112170696258545,2.9939799308776855,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
neutral,10.755127668380737,3.911177396774292,0,0,0,2.0278983116149902,0,0,0,0,9.867723107337952,0,3.1261067390441895,0,0,2.534245729446411,3,2,0,0,0,1,0,0,0,0,3,0,1,0,0,1
entailment,10.28624153137207,0,0,0,0,0,0,0,0,0,0.045928049832582474,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
