CLASS,NOUN_NOUN,NOUN_ADJ,NOUN_VERB,NOUN_ADV,ADJ_NOUN,ADJ_ADJ,ADJ_VERB,ADJ_ADV,VERB_NOUN,VERB_ADJ,VERB_VERB,VERB_ADV,ADV_NOUN,ADV_ADJ,ADV_VERB,ADV_ADV,NOUN_NOUN_,NOUN_ADJ_,NOUN_VERB_,NOUN_ADV_,ADJ_NOUN_,ADJ_ADJ_,ADJ_VERB_,ADJ_ADV_,VERB_NOUN_,VERB_ADJ_,VERB_VERB_,VERB_ADV_,ADV_NOUN_,ADV_ADJ_,ADV_VERB_,ADV_ADV_,Who,Where,When,What,Why,How,Additional information
entailment,28.64509261,1.631951049,9.032563686,0,6.144411981,0.127508432,0,0,4.677207112,0.303175807,2.09162879,0,0,0,0,0,21,7,6,0,7,1,0,0,6,1,1,0,0,0,0,0,0.696783066,0.076059915,1,0.50526154,1,1,1
entailment,26.67130001,3.984222949,4.437696636,0,2.492922723,8.615626812,0,0,9.88784492,0,2.011043608,0,0,0,0,0,18,4,4,0,4,2,0,0,10,0,2,0,0,0,0,0,0.762581825,1,1,0.9441607,1,1,0.699488401
contradiction,14.88061917,1.824591637,3.687874317,0,5.383793592,1.300978422,3.665578008,0,1.199860811,0.347016901,3.661071062,0,0,0,0,0,6,1,3,0,3,2,2,0,1,1,1,0,0,0,0,0,0.881357074,0.265408218,1,0.360803336,1,1,1
contradiction,7.112267256,0,4.998954013,0,3.913143873,0,0,0,4.153235912,0,7.057169348,0,0,0,0,0,4,0,7,0,3,0,0,0,3,0,8,0,0,0,0,0,0.153366238,1,1,0.358316004,1,1,1
neutral,14.62362272,0,1.083490767,0,1.657800853,0,0,0,3.077783287,0,1.261640653,0,2.265015662,0,0.411896735,0,7,0,4,0,2,0,0,0,3,0,2,0,2,0,1,0,0.919903159,0.715983629,1,0.224678844,1,1,1
neutral,25.85721844,0,7.574536547,0,3.232500136,0,0.040094014,0,10.35205007,0,3.342329394,0,0.978198469,0,1.086992286,0,14,0,10,0,2,0,1,0,8,0,7,0,1,0,3,0,0.355541646,0.970494032,1,0.012387009,1,1,1
neutral,14.0053086,0,2.852440596,0,2.417730808,0,0,0,3.293390334,0,2.596376657,0,0,0,0,0,10,0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0.627316952,0.931576967,0.187566116,0.690859914,0.187566116,0.350854158,0.187566116
entailment,16.69652426,2.748271465,3.371956348,0,1.194057733,8.372845411,0.908582628,0,18.39312676,1.229884267,4.098049343,0,0,0,0,0,11,2,3,0,2,2,1,0,11,1,4,0,0,0,0,0,1,1.000000119,1,0.279924005,1,0.137449294,1
neutral,8.488348961,4.910164297,1.962857239,0,0,0,0,0,1.651495993,0.902464449,1.6735202,0,0,0,0,0,3,2,4,0,0,0,0,0,2,1,2,0,0,0,0,0,0.57502532,0.196807176,1.000000119,0.619125068,1.000000119,1.000000119,1.000000119
entailment,58.80942976,0,7.037020862,0,15.45323539,0,2.091104448,0,6.181877375,0,1.719080567,0,0,0,0,0,28,0,7,0,11,0,3,0,4,0,2,0,0,0,0,0,0.6848194,1,1,0.520033896,1,0.177777871,1
neutral,6.997473836,2.465877056,0.554656312,0,6.436203957,6.46560061,2.624793477,0,1.717681408,0,1.686837554,0,0,0,0,0,4,2,2,0,4,2,5,0,1,0,4,0,0,0,0,0,1.000000238,1,1,-0.011613283,1,1,1
contradiction,19.35808411,0,4.178117216,0,5.598720908,0,1.419749916,0,1.70532316,0,1.354373336,0,0,0,0,0,10,0,4,0,5,0,2,0,2,0,1,0,0,0,0,0,0.287412465,1,1,0.517933726,1,0.097933948,1
entailment,2.832832098,0,0.049282771,0,0,0,0,0,0,0,9.823633194,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0.665625036,1,1,0.902388752,1,1,1
contradiction,13.3757658,0,6.729290664,3.885399908,1.056647658,0,0,0.440534949,1.20936954,0,2.162590027,1.201322079,0,0,0,0,5,0,5,5,1,0,0,1,1,0,1,1,0,0,0,0,0.238589227,1,1,0.14128536,1,0.246887386,1
