CLASS,NOUN_NOUN,NOUN_ADJ,NOUN_VERB,NOUN_ADV,ADJ_NOUN,ADJ_ADJ,ADJ_VERB,ADJ_ADV,VERB_NOUN,VERB_ADJ,VERB_VERB,VERB_ADV,ADV_NOUN,ADV_ADJ,ADV_VERB,ADV_ADV,NOUN_NOUN_,NOUN_ADJ_,NOUN_VERB_,NOUN_ADV_,ADJ_NOUN_,ADJ_ADJ_,ADJ_VERB_,ADJ_ADV_,VERB_NOUN_,VERB_ADJ_,VERB_VERB_,VERB_ADV_,ADV_NOUN_,ADV_ADJ_,ADV_VERB_,ADV_ADV_,sinonimos,antonimos,hiperonimos,hiponimos
entailment,28.6450926065445,1.63195104897022,9.03256368637085,0,6.1444119811058,0.12750843167305,0,0,4.67720711231232,0.303175806999207,2.09162878990173,0,0,0,0,0,21,7,6,0,7,1,0,0,6,1,1,0,0,0,0,0,0,0,2,2
entailment,26.671300008893,3.98422294855118,4.43769663572311,0,2.4929227232933,8.6156268119812,0,0,9.88784492015839,0,2.01104360818863,0,0,0,0,0,18,4,4,0,4,2,0,0,10,0,2,0,0,0,0,0,3,0,0,1
contradiction,14.8806191682816,1.82459163665771,3.68787431716919,0,5.383793592453,1.30097842216492,3.66557800769806,0,1.19986081123352,0.347016900777817,3.66107106208801,0,0,0,0,0,6,1,3,0,3,2,2,0,1,1,1,0,0,0,0,0,1,0,0,0
contradiction,7.11226725578308,0,4.99895401299,0,3.91314387321472,0,0,0,4.153235912323,0,7.05716934800148,0,0,0,0,0,4,0,7,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0
neutral,14.6236227154732,0,1.08349076658487,0,1.65780085325241,0,0,0,3.0777832865715,0,1.26164065301418,0,2.26501566171646,0,0.411896735429764,0,7,0,4,0,2,0,0,0,3,0,2,0,2,0,1,0,2,0,0,0
neutral,25.8572184443474,0,7.57453654706478,0,3.23250013589859,0,0.040094014257193,0,10.3520500659943,0,3.34232939407229,0,0.97819846868515,0,1.08699228614569,0,14,0,10,0,2,0,1,0,8,0,7,0,1,0,3,0,1,0,0,0
neutral,14.00530859828,0,2.85244059562683,0,2.41773080825806,0,0,0,3.2933903336525,0,2.59637665748596,0,0,0,0,0,10,0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0
entailment,16.6965242624283,2.74827146530151,3.37195634841919,0,1.19405773282051,8.37284541130066,0.908582627773285,0,18.3931267559528,1.22988426685333,4.09804934263229,0,0,0,0,0,11,2,3,0,2,2,1,0,11,1,4,0,0,0,0,0,2,0,1,0
neutral,8.48834896087647,4.91016429662705,1.96285723894835,0,0,0,0,0,1.65149599313736,0.90246444940567,1.67352019995451,0,0,0,0,0,3,2,4,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0
entailment,58.8094297647476,0,7.03702086210251,0,15.4532353878021,0,2.09110444784164,0,6.18187737464905,0,1.71908056735992,0,0,0,0,0,28,0,7,0,11,0,3,0,4,0,2,0,0,0,0,0,4,0,0,0
