Who,Where,When,What,Why,How,Additional information,CLASS
0.696783185005188,0.076060019433498,1,0.505261600017548,1,1,1,entailment
0.762581944465637,1,1,0.94416081905365,1,1,0.699488282203674,entailment
0.88135701417923,0.26540818810463,1,0.360803335905075,1,1,1,contradiction
0.153366312384605,1,1,0.358316034078598,1,1,1,contradiction
0.91990315914154,0.715983629226685,1,0.224678754806518,1,1,1,neutral
0.355541527271271,0.970494031906128,1,0.0123869497329,1,1,1,neutral
0.627316951751709,0.93157696723938,1,0.690859913825989,1,0.350854218006134,1,neutral
1.00000023841858,1.00000011920929,1,0.279924035072327,1,0.137449324131012,1,entailment
0.575025260448456,1,1,0.619125127792358,1,1,1,neutral
0.684819459915161,1,1,0.520033955574036,1,0.177777990698814,1,entailment
0.99999988079071,1,1,-0.011613387614489,1,1,1,neutral
0.287412405014038,1,1,0.51793360710144,1,0.097933933138847,1,contradiction
0.665625214576721,1,1,0.902388632297516,1,1,1,entailment
0.238589361310005,1,1,0.141285225749016,1,0.246887281537056,1,contradiction
0.441087245941162,0.280944108963013,0.198510766029358,0.144281655550003,0.175535768270493,0.149188250303268,0.541860222816467,neutral
0.91990315914154,0.946713387966156,1,0.152387887239456,1,1,1,neutral
1.00000011920929,1,1,0.632755100727081,1,1,0.144497394561768,entailment
1,0.560035824775696,1,0.287569761276245,1,1,1,contradiction
0.621085166931152,1,1,0.789108395576477,1,1,1,contradiction
0.690780699253082,1,1,0.749194979667664,0.270816951990128,1,1,entailment
1.00000011920929,0.144643545150757,1,1,1,1,1,entailment
0.83877444267273,1,1,0.600825965404511,1,1,1,entailment
0.896134853363037,1,1,0.236791491508484,1,1,1,neutral
1.00000011920929,1,1,0.437635898590088,1,1,1,contradiction
0.510677337646484,1,1,0.79827219247818,1,1,1,entailment
0.61428439617157,1,1,0.235290825366974,1,1,1,neutral
0.794848084449768,1,1,0.379285633563995,1,1,1,entailment
1,1.00000023841858,1,0.032397128641605,1,0.249116152524948,1,entailment
0.499030411243439,0.217870980501175,1,1,1,1,1,entailment
0.712086021900177,1,1,0.216052383184433,1,1,1,neutral
0.891483068466187,1,1,0.226338297128677,1,1,1,neutral
0.456863522529602,1,1,0.696470499038696,1,1,1,contradiction
0.18403297662735,0.350474029779434,1,0.534324944019318,1,1,1,contradiction
1,1,1,0.911033511161804,1,1,0.277109324932098,entailment
0.795819222927094,0.222221285104752,1,0.08914889395237,1,1,1,contradiction
0.594036459922791,1,1,0.303150236606598,1,1,1,neutral
0.79039466381073,0.590542554855347,1,1,1,1,1,entailment
0.60416579246521,0.250795364379883,1,0.218379318714142,1,0.026424739509821,1,neutral
0.522790372371674,1,1,0.346214830875397,1,1,1,neutral
0.880472183227539,1,1,0.814912676811218,1,1,1,entailment
0.898702263832092,1,1,0.229492247104645,1,1,1,neutral
0.981593251228332,0.713081955909729,1,0.085707828402519,1,1,1,neutral
0.829604029655456,1,1,0.081977009773254,1,1,1,contradiction
0.251621335744858,0.112088337540627,1,0.033658269792795,1,1,1,neutral
0.426505446434021,1,1,0.199012130498886,1,1,1,entailment
1,1,1,0.458255112171173,0.154802307486534,0.230981439352036,1,neutral
1.00000011920929,1,1,0.666366100311279,-0.004532156512141,1,1,neutral
1,1,1,0.824008464813232,1,0.920708894729614,1,entailment
0.397011071443558,0.104877300560474,1,1,1,1,-0.013458887115121,contradiction
0.802969694137573,0.094227716326714,0.346796095371246,0.805822610855102,0.623522400856018,0.272502541542053,0.096925906836987,neutral
1,1,1,0.866729378700256,1,1,1,entailment
0.543766021728516,0.301355540752411,1,0.978958249092102,1,1,1,entailment
0.483938962221146,0.697720229625702,1,0.454779118299484,1,1,1,neutral
0.535281717777252,1,1,0.8126060962677,1,1,1,entailment
1.00000011920929,0.213148012757301,1,0.642328083515167,1,1,1,contradiction
0.570419073104858,1,1,1,1,1,1,entailment
1,1,1,1,1,1,1,entailment
0.600510179996491,0.911766827106476,1,0.115147091448307,1,1,1,neutral
1.00000011920929,0.58538806438446,1,1,1,1,1,neutral
1,1,1,1,1,1,1,neutral
1,0.215805754065514,1,0.274579852819443,1,1,1,neutral
0.898702263832092,1,1,0.135870561003685,1,1,1,neutral
0.597115874290466,0.180032819509506,1,0.457253694534302,1,1,1,neutral
1,0.619591593742371,1,0.339780002832413,1,1,1,entailment
0.678285241127014,1,1,0.659213960170746,1,0.08195036649704,0.564656496047974,entailment
0.932740271091461,1,1,0.497339338064194,1,1,1,contradiction
0.794848084449768,1,1,0.924538850784302,1,1,1,entailment
0.440490543842316,0.717918276786804,0.535778820514679,0.330494403839111,1,1,1,entailment
0.477614670991898,1,1,0.658915162086487,1,1,1,neutral
0.264849007129669,1,1,0.118838667869568,1,1,1,contradiction
0.874268651008606,0.798880100250244,1,0.624081909656525,1,1,1,entailment
0.093085587024689,1,1,0.047408659011126,1,1,1,contradiction
0.474191308021545,1,1,0.323199421167374,1,1,0.149146720767021,contradiction
0.554995000362396,0.245991215109825,1,1,1,1,0.079370737075806,contradiction
0.488068610429764,1,1,0.216755300760269,1,1,1,neutral
1.00000011920929,1,1,0.19076943397522,1,1,0.763895750045776,entailment
0.76724648475647,0.476143419742584,1,1.00000023841858,1,1,1,entailment
0.5568927526474,1.00000023841858,1,1,1,1,1,entailment
0.745622515678406,0.498519897460938,1,0.887016892433167,1,1,1,entailment
0.943345785140991,1,1,0.419082283973694,1,1,1,contradiction
0.336086332798004,0.240108460187912,0.189548283815384,0.391182243824005,0.180097758769989,0.187454730272293,0.402332156896591,neutral
1.00000011920929,1,1,0.475469529628754,1,1,1,entailment
0.621283233165741,0.445770382881165,1,1,1,1,1,entailment
1.00000011920929,0.294609725475311,1,0.610695242881775,1,1,1,entailment
0.277931272983551,0.281877279281616,1,0.237882301211357,1,1,1,contradiction
1,1,1,0.120209008455276,1,0.153453812003136,1,entailment
1,1,1,0.196910038590431,1,1,1,entailment
1,1,1,0.220650434494018,1,1,1,entailment
1,1,1,1,1,1,1,contradiction
0.794848084449768,1,1,0.685753345489502,1,1,1,contradiction
0.713851928710938,0.361196160316467,1,0.207691431045532,1,1,1,contradiction
0.825397849082947,1,1,0.177375465631485,0.720716595649719,0.177531391382217,1,neutral
0.756717324256897,1,1,0.099991269409657,1,1,1,entailment
0.474196463823319,0.305527001619339,1,1,1,1,0.107046380639076,entailment
0.45783993601799,0.191886350512505,1,0.129922121763229,1,1,1,contradiction
0.706642866134644,0.210285618901253,1,0.570392191410065,1,1,1,entailment
0.894955694675446,1,1,0.830283999443054,1,1,1,entailment
0.072305016219616,1,1,0.0868901014328,1,1,1,contradiction
0.655674278736115,1,1,0.357685506343842,1,1,1,contradiction
0.615320861339569,1,1,0.030109638348222,1,1,1,contradiction
