CLASS,Who,Where,When,What,Why,How,Additional information,Who,Where,When,What,Why,How,Additional information
entailment,1,0.6982456140350877,1,0.5522875816993463,1,1,1,0.6967830657958984,0.076059915,1,0.5052615404129028,1,1,1
entailment,1,1,1,1,1,1,0.7818181818181819,0.7625818252563477,1,1,0.9441606998443604,1,1,0.6994884014129639
contradiction,1,0.4230769230769231,1,0.8333333333333334,1,1,1,0.8813570737838745,0.2654082179069519,1,0.3608033359050751,1,1,1
contradiction,0,1,1,1,1,1,1,0.15336623787879944,1,1,0.39118361473083496,1,1,1
neutral,1,1,1,0.5897435897435898,1,1,1,0.9199031591415405,0.7159836292266846,1,0.22467884421348572,1,1,1
neutral,0,1,1,0.7142857142857143,1,1,1,0.2905583381652832,0.9704940319061279,1,0.019695959985256195,1,1,1
neutral,1,0.8,1,1,1,-1,1,0.627316952,0.9315769672393799,1,0.6908599138259888,1,0.35085415840148926,1
entailment,1,1,1,0.5882352941176471,1,0.5625,1,1,1.0000001192092896,1,0.2799240052700043,1,0.13744929432868958,1
neutral,1,1,1,0.49722222222222223,1,1,1,0.5750253200531006,1,1,0.6191250681877136,1,1,1
entailment,1,1,1,1,1,-1,1,0.5931077003479004,1,1,0.4842981994152069,1,0.17777787148952484,1
neutral,1,1,1,0.6636108989050166,1,1,1,1.000000238418579,1,1,-0.011613283,1,1,1
contradiction,0,1,1,0.6967418546365914,1,0.65,1,0.28741246461868286,1,1,0.517933726,1,0.097933948,1
entailment,1,1,1,1,1,1,1,0.6656250357627869,1,1,0.9023887515068054,1,1,1
contradiction,1,1,1,0.625,1,-1,1,0.23858922719955444,1,1,0.14128535985946655,1,0.18069490790367126,1
neutral,1,0.6666666666666666,-1,0.6904761904761905,1,-1,0.6818181818181819,0.44108715653419495,0.2809441387653351,0.30366384983062744,0.14428159594535828,1,0.19642280042171478,0.49483516812324524
neutral,1,0.4666666666666666,1,0.5833333333333333,1,1,1,0.9199031591415405,0.7905315160751343,1,0.1523878127336502,1,1,1
entailment,1,1,1,1,1,1,0.6666666666666666,1.0000001192092896,1,1,0.6327549815177917,1,1,0.1827736645936966
contradiction,1,0.46296296296296297,1,0.5833333333333333,1,1,1,1,0.560035765,1,0.2875698208808899,1,1,1
contradiction,1,1,1,0.9523809523809524,1,1,1,0.6210851669311523,1,1,0.789108396,1,1,1
entailment,1,1,1,1,-1,1,1,0.6907806396484375,1,1,0.74919486,0.2708170413970947,1,1
entailment,1,0.5286195286195287,1,1,1,1,1,1.0000001192092896,0.14464353024959564,1,1,1,1,1
entailment,1,1,1,1,1,1,1,0.8387744426727295,1,1,0.5999987721443176,1,1,1
neutral,1,1,1,-1,1,1,1,0.8961348533630371,1,1,0.2367914617061615,1,1,1
contradiction,1,1,1,0.9,1,1,1,1,1,1,0.43763595819473267,1,1,1
