CLASS,Where,What,Who,When,Why,How,Additional information
entailment,1,0.5052615404129028,1,0,0,0,1
entailment,1,0.9441606998443604,1,1,1,1,1
contradiction,0.2654082179069519,0.3608033359050751,1,0,0,1,1
contradiction,1,0.9197309017181396,0,0,0,1,0
neutral,0.7159836292266846,0.22467884421348572,1,0,0,0,1
neutral,0.9704940319061279,0.086362161,-1,0,0,1,0
neutral,0.7568014860153198,0.6908599138259888,1,0,0,0,0
entailment,0.694443405,0.4297010898590088,1,0,0,0,1
neutral,1,0.6191250681877136,1,0,0,0,0
entailment,1,0.5200338959693909,1,0,0,-1,0
neutral,1,0.36979806423187256,1,0,0,0,1
contradiction,1,0.517933726,-1,0,0,-1,1
entailment,1,0.9023887515068054,1,0,0,1,0
contradiction,1,0.14128535985946655,1,0,0,0,1
neutral,0.2809441387653351,0.14428159594535828,1,0,-1,-1,1
neutral,0.9467133283615112,0.1523878127336502,1,1,0,0,1
entailment,1,0.6327549815177917,1,0,0,1,1
contradiction,0.560035765,0.2875698208808899,1,0,0,0,0
contradiction,1,0.789108396,1,0,1,0,0
entailment,1,0.74919486,1,0,-1,0,1
entailment,1,0.6747161149978638,1,0,0,1,0
entailment,1,0.6008259057998657,1,0,0,0,0
neutral,1,0.045377027,1,0,0,0,0
contradiction,1,0.43763595819473267,1,0,0,0,1
entailment,1,0.7982722520828247,1,0,0,0,0
neutral,1,0.23529082536697388,1,0,0,1,1
entailment,1,0.379285604,1,0,0,0,1
entailment,0.5449172258377075,0.3654838800430298,1,0,0,0,0
entailment,0.2178707718849182,0.21638667583465576,1,0,0,0,0
neutral,1,0.2160525619983673,1,0,0,0,0
neutral,1,0.22633835673332214,1,0,0,0,1
contradiction,1,0.6964704990386963,0,0,0,1,0
contradiction,0.3504739999771118,0.5343248844146729,1,0,0,0,0
entailment,1,0.9110335111618042,-1,0,0,-1,0
contradiction,0.2222212255001068,0.089148872,1,0,1,0,0
neutral,1,0.30315014719963074,1,0,0,0,1
entailment,0.5905424356460571,0.1972610354423523,1,0,0,0,0
neutral,1,0.21837930381298065,1,0,0,-1,0
neutral,1,0.21174994111061096,1,0,0,0,1
entailment,1,0.8149127960205078,1,0,0,0,1
neutral,1,0.3181416988372803,1,0,0,0,1
neutral,0.7130820751190186,0.085707836,1,0,0,0,0
contradiction,1,0.081976958,1,0,0,1,0
neutral,0.11208832263946533,0.033658151,1,0,0,0,0
entailment,1,0.1990121304988861,1,0,0,0,1
neutral,1,0.4582550823688507,1,0,-1,-1,0
neutral,1,0.6663662195205688,1,0,-1,1,1
entailment,1,0.9207088947296143,1,0,0,0,1
contradiction,0.10487721115350723,0.046445123851299286,1,0,1,1,0.5
neutral,0.094227634,0.8058227300643921,-1,0,1,0.5,0
entailment,1,0.8667292594909668,1,0,0,1,0
entailment,0.30135560035705566,0.9789584875106812,1,0,0,0,1
neutral,0.6977202892303467,0.4547792077064514,-1,0,0,1,0
entailment,1,0.8126060366630554,1,0,0,1,1
contradiction,0.3045235872268677,0.6818981170654297,1,0,0,0,0
entailment,1,1,1,0,0,0,1
entailment,0.562515378,0.7948890924453735,1,0,0,0,0
neutral,0.9117668867111206,0.1151471957564354,1,0,0,0,0
neutral,0.5853879451751709,1,1,0,0,1,1
neutral,1,1,1,-1,0,0,1
neutral,0.21580585837364197,0.2745797038078308,1,0,0,0,0
neutral,1,0.13587066531181335,1,0,0,0,1
neutral,0.1800328493118286,0.45725369453430176,1,0,0,0,0
entailment,0.6195916533470154,0.1484781950712204,1,0,0,0,0
entailment,1,0.6592142581939697,1,0,0,-1,1
contradiction,1,0.49733930826187134,1,0,1,1,1
entailment,1,0.9245389103889465,1,0,1,0,0
entailment,0.7179181575775146,0.27843254804611206,-1,-1,0,0,0
neutral,1,0.658915102,1,0,0,0,1
contradiction,1,0.11883864551782608,1,0,0,0,1
entailment,0.7988799214363098,0.6240819692611694,1,0,0,0,0
contradiction,1,0.047408588230609894,1,0,0,1,0
contradiction,1,0.3231995105743408,1,0,0,0,-1
contradiction,0.24599118530750275,0.10528015345335007,-1,1,1,1,1
neutral,1,0.21675527095794678,1,1,1,1,1
entailment,1,0.397404283,1,0,0,0,1
entailment,0.47614341974258423,1.0000001192092896,1,0,0,0,0
entailment,1.0000001192092896,0.9999999403953552,1,0,0,0,1
entailment,0.4985198676586151,0.8870168924331665,1,0,0,0,1
contradiction,1,0.419082373,1,1,1,1,1
neutral,0.2401084303855896,0.3911822736263275,-1,-1,-1,0,1
entailment,1,0.4754694700241089,1,0,1,1,0
entailment,0.44577038288116455,0.22534281015396118,1,0,0,0,1
entailment,0.29460975527763367,0.6106952428817749,1,0,0,1,0
contradiction,0.281877339,0.2876601219177246,-1,0,1,1,0
entailment,1,0.1202089935541153,1,1,0,0,1
entailment,1.0000001192092896,0.19690990447998047,1,0,0,0,0
entailment,1,0.3484731912612915,1,1,0,0,1
contradiction,0.4867148697376251,0.15730082988739014,-1,0,1,1,1
contradiction,1,0.685753345,1,0,0,1,0
contradiction,0.36119621992111206,0.20769143104553223,1,0,0,0,1
neutral,1,0.33321964740753174,1,0,0,-1,0
entailment,1,0.099991269,1,0,0,0,1
entailment,0.30552706122398376,0.305073082,-1,0,0,0,1
contradiction,0.19188621640205383,0.1299220621585846,-1,0,0,1,1
entailment,1,0.7478418946266174,1,0,0,0,1
entailment,1,0.8302839994430542,1,0,0,0,0
contradiction,1,0.086890094,1,0,0,0,0
contradiction,1,0.357685387,1,0,0,0,0
contradiction,1,0.008623317,1,0,0,0,1
