,Who,Where,When,What,Why,How,Additional information
0,0.5,0.375,1,0.27777777777777773,1.0,1.0,1.0
1,0.5,1.0,1,1.0,1.0,1.0,0.7
2,1.0,0.2222222222222222,1,0.3333333333333333,1.0,1.0,1.0
3,0.2,1.0,1,1.0,1.0,1.0,1.0
4,0.0,1.0,1,0.3333333333333333,1.0,1.0,1.0
5,0.0,1.0,1,0.3333333333333333,1.0,1.0,1.0
6,-1.0,0.8,1,1.0,1.0,-1.0,1.0
7,1.0,1.0,1,0.5555555555555555,1.0,0.29166666666666663,1.0
8,1.0,1.0,1,0.25,1.0,1.0,1.0
9,-1.0,1.0,1,1.0,1.0,-1.0,1.0
10,-1.0,1.0,1,0.38888888888888884,1.0,1.0,1.0
11,0.25,1.0,1,0.29166666666666663,1.0,0.29166666666666663,1.0
12,0.3333333333333333,1.0,1,1.0,1.0,1.0,1.0
13,-1.0,1.0,1,0.3333333333333333,1.0,-1.0,1.0
14,0.0,0.16666666666666666,-1,0.3333333333333333,1.0,-1.0,0.5333333333333333
15,0.0,0.4166666666666667,1,0.5,1.0,1.0,1.0
16,1.0,1.0,1,1.0,1.0,1.0,0.2
17,1.0,0.27777777777777773,1,0.3333333333333333,1.0,1.0,1.0
18,-1.0,1.0,1,1.0,1.0,1.0,1.0
19,-1.0,1.0,1,1.0,-1.0,1.0,1.0
20,1.0,0.5,1,1.0,1.0,1.0,1.0
21,1.0,1.0,1,1.0,1.0,1.0,1.0
22,-1.0,1.0,1,-1.0,1.0,1.0,1.0
23,1.0,1.0,1,0.3333333333333333,1.0,1.0,1.0
24,1.0,1.0,1,1.0,1.0,1.0,1.0
25,1.0,1.0,1,0.3055555555555555,1.0,1.0,1.0
26,0.0,1.0,1,0.3333333333333333,1.0,1.0,1.0
27,0.0,1.0,1,0.16666666666666666,1.0,-1.0,1.0
28,0.0,0.2333333333333333,1,1.0,1.0,1.0,1.0
29,0.0,1.0,1,0.3333333333333333,1.0,1.0,1.0
30,0.5,1.0,1,0.25,1.0,1.0,1.0
31,0.3333333333333333,1.0,1,1.0,1.0,1.0,1.0
32,-1.0,0.3333333333333333,1,0.6666666666666666,1.0,1.0,1.0
33,0.0,1.0,1,0.1111111111111111,1.0,1.0,-1.0
34,0.0,-1.0,1,0.3333333333333333,1.0,1.0,1.0
35,1.0,1.0,1,0.37962962962962965,1.0,1.0,1.0
36,1.0,1.0,1,1.0,1.0,1.0,1.0
37,0.0,-1.0,1,0.3333333333333333,1.0,-1.0,1.0
38,0.0,1.0,1,0.4583333333333333,1.0,1.0,1.0
39,0.0,1.0,1,0.6666666666666666,1.0,1.0,1.0
40,0.0,1.0,1,-1.0,1.0,1.0,1.0
41,1.0,1.0,1,0.16666666666666666,1.0,1.0,1.0
42,1.0,1.0,1,0.1,1.0,1.0,1.0
43,0.0,0.3333333333333333,1,0.41666666666666663,1.0,1.0,1.0
44,0.0,1.0,1,0.3055555555555555,1.0,1.0,1.0
45,-1.0,1.0,1,0.41666666666666663,-1.0,-1.0,1.0
46,1.0,1.0,1,0.625,0.3333333333333333,1.0,1.0
47,0.0,1.0,1,1.0,1.0,1.0,1.0
48,0.14285714285714285,0.13333333333333333,1,1.0,1.0,1.0,0.3333333333333333
49,0.0,0.3333333333333333,-1,0.6666666666666666,1.0,1.0,-1.0
50,1.0,1.0,1,0.6666666666666666,1.0,1.0,1.0
51,-1.0,-1.0,1,1.0,1.0,1.0,1.0
52,-1.0,0.4444444444444444,1,0.2,1.0,1.0,1.0
53,0.5,1.0,1,0.625,1.0,1.0,1.0
54,1.0,-1.0,1,1.0,1.0,1.0,1.0
55,1.0,1.0,1,0.6666666666666666,1.0,1.0,1.0
56,0.0,1.0,1,1.0,1.0,1.0,1.0
57,0.3333333333333333,0.6666666666666666,1,-1.0,1.0,1.0,1.0
58,1.0,0.6666666666666666,1,1.0,1.0,1.0,1.0
59,0.0,1.0,1,1.0,1.0,1.0,1.0
60,1.0,0.3333333333333333,1,0.2,1.0,1.0,1.0
61,0.0,1.0,1,0.3333333333333333,1.0,1.0,1.0
62,1.0,1.0,1,0.8125,1.0,1.0,1.0
63,0.0,0.3333333333333333,1,0.2,1.0,1.0,1.0
64,1.0,1.0,1,1.0,1.0,0.29999999999999993,1.0
65,-1.0,1.0,1,0.0,1.0,1.0,1.0
66,-1.0,1.0,1,1.0,1.0,1.0,1.0
67,-1.0,1.0,1,-1.0,1.0,1.0,1.0
68,0.5,1.0,1,0.3333333333333333,1.0,1.0,1.0
69,0.3333333333333333,1.0,1,0.3055555555555555,1.0,1.0,1.0
70,0.0,1.0,1,1.0,1.0,1.0,1.0
71,0.3333333333333333,1.0,1,0.3333333333333333,1.0,1.0,1.0
72,0.5,1.0,1,0.25,1.0,1.0,-1.0
73,0.0,0.14285714285714285,1,1.0,1.0,1.0,0.36904761904761907
74,-1.0,1.0,1,0.5,1.0,1.0,1.0
75,1.0,1.0,1,0.16666666666666666,1.0,1.0,1.0
76,-1.0,0.3333333333333333,1,1.0,1.0,1.0,1.0
77,-1.0,1.0,1,1.0,1.0,1.0,1.0
78,0.0,0.3333333333333333,1,1.0,1.0,1.0,1.0
79,1.0,1.0,1,0.5555555555555555,1.0,1.0,1.0
80,-1.0,1.0,0,0.41666666666666663,0.0,1.0,0.26666666666666666
81,1.0,1.0,1,0.16666666666666666,1.0,1.0,1.0
82,0.3333333333333333,0.3333333333333333,1,1.0,1.0,1.0,1.0
83,1.0,0.3333333333333333,1,0.125,1.0,1.0,1.0
84,-1.0,0.2222222222222222,1,0.27777777777777773,1.0,1.0,1.0
85,1.0,1.0,1,0.125,1.0,-1.0,1.0
86,1.0,0.6666666666666666,1,0.3333333333333333,1.0,1.0,1.0
87,1.0,1.0,1,0.25,1.0,1.0,1.0
88,0.0,1.0,1,1.0,1.0,1.0,1.0
89,0.25,1.0,1,0.6666666666666666,1.0,1.0,1.0
90,0.3333333333333333,0.16666666666666666,1,0.3333333333333333,1.0,1.0,1.0
91,1.0,1.0,1,0.3333333333333333,0.4444444444444444,0.41666666666666663,1.0
92,1.0,1.0,1,0.16666666666666666,1.0,1.0,1.0
93,0.3333333333333333,0.3333333333333333,1,1.0,1.0,1.0,-1.0
94,0.3333333333333333,0.3333333333333333,1,0.29166666666666663,1.0,1.0,1.0
95,-1.0,0.6666666666666666,1,0.611111111111111,1.0,1.0,1.0
96,0.0,1.0,1,1.0,1.0,1.0,1.0
97,0.25,1.0,1,0.25,1.0,1.0,1.0
98,1.0,1.0,1,0.5,1.0,1.0,1.0
99,1.0,1.0,1,0.41666666666666663,1.0,1.0,1.0
