Who,Where,When,What,Why,How,Additional information,CLASS
1,0.6982456140350877,0,0.5522875816993463,0,1,0,entailment
1,1,1,1,1,1,0.7818181818181819,entailment
1,0.4230769230769231,0,0.8333333333333334,0,1,1,contradiction
0,1,0,1,0,0,0,contradiction
1,1,0,0.5897435897435898,0,0,1,neutral
0,1,0,0.7142857142857143,0,0,0,neutral
1,0.8,0,1,0,-1,0,neutral
1,1,0,0.5882352941176471,0,0.5625,1,entailment
1,1,0,0.49722222222222223,0,0,0,neutral
1,0,0,1,0,-1,0,entailment
1,0,0,0.6636108989050166,0,0,1,neutral
0,1,0,0.6967418546365914,0,0.65,0,contradiction
1,0,0,1,0,1,0,entailment
1,1,0,0.625,0,-1,1,contradiction
1,0.6666666666666666,-1,0.6904761904761905,0,-1,0.6818181818181819,neutral
1,0.4666666666666666,1,0.5833333333333333,0,0,1,neutral
1,1,0,1,0,1,0.6666666666666666,entailment
1,0.46296296296296297,0,0.5833333333333333,0,0,0,contradiction
1,0,0,0.9523809523809524,1,0,0,contradiction
1,0,0,1,-1,0,1,entailment
1,0.5286195286195287,0,1,0,1,0,entailment
1,1,0,1,0,0,0,entailment
1,1,0,-1,0,0,0,neutral
1,0,0,0.9,0,0,1,contradiction
1,0,0,1,0,0,0,entailment
1,1,0,0.4666666666666667,0,1,1,neutral
1,0,0,0.7569444444444444,0,0,1,entailment
0,1,0,0.7058823529411765,0,-1,1,entailment
1,0.5135864135864135,0,1,0,0,0,entailment
1,1,0,0.6082621082621082,0,0,0,neutral
1,0,0,0.2902145473574045,0,0,1,neutral
1,0,0,1,0,1,0,contradiction
1,0.575657895,0,0.8529411764705883,0,0,0,contradiction
0,1,0,0.2,0,0,-1,entailment
1,-1,0,0.41666666666666663,1,0,0,contradiction
1,0,0,0.4423529411764705,0,0,1,neutral
1,0.7142857142857143,0,1,0,0,0,entailment
1,-1,0,0.37777777777777777,0,-1,0,neutral
1,1,0,0.5497076023391813,0,0,0,neutral
1,1,0,0.6666666666666666,0,0,1,entailment
1,1,0,-1,0,0,1,neutral
1,0.5416666666666666,0,0.26851851851851855,0,0,0,neutral
1,0,0,0.22827903091060983,0,1,0,contradiction
1,0.6666666666666666,0,0.6388888888888888,0,0,0,neutral
1,0,0,0.7087912087912088,0,0,1,entailment
1,1,0,0.7205882352941176,-1,-1,0,neutral
1,0,0,0.8333333333333333,0.5714285714285715,1,1,neutral
0,0,0,1,0,1,1,entailment
1,0.2222222222222222,0,1,1,1,0.5,contradiction
1,0.4583333333333333,-1,0.75,1,0,-1,neutral
1,1,0,0.6666666666666666,0,1,0,entailment
1,-1,0,1,0,0,1,entailment
1,0.625,0,0.5882352941176471,0,1,0,neutral
1,0,0,0.9,0,1,1,entailment
1,-1,0,0.7307692307692308,0,0,0,contradiction
1,0,0,0.6666666666666666,0,0,1,entailment
0,1,0,0,0,0,0,entailment
1,0.75,0,-1,0,0,0,neutral
1,0.6851851851851851,0,1,0,1,1,neutral
0,1,0,1,0,1,1,neutral
1,0.625,0,0.43567251461988304,0,0,0,neutral
1,0,0,0.3833333333333333,0,0,1,neutral
1,0.8333333333333333,0,0.8461538461538461,0,0,0,neutral
0,0.5,0,0.7058823529411765,0,0,0,entailment
1,1,1,1,1,0.39285714285714285,1,entailment
1,1,0,0,1,1,1,contradiction
1,0,0,1,1,0,0,entailment
1,1,0,-1,0,0,0,entailment
1,1,0,0.6666666666666666,0,0,1,neutral
1,1,0,0.6897435897435896,0,0,1,contradiction
1,1,0,1,0,0,0,entailment
1,0,0,0.5917874396135265,0,1,0,contradiction
1,0,0,0.6666666666666666,0,0,-1,contradiction
1,0.3198653198653199,1,1,1,0,0.5177616501145913,contradiction
1,1,1,0.6745098039215687,0,1,1,neutral
1,1,0,0.3261904761904762,1,0,1,entailment
1,0.6666666666666666,0,1,0,0,0,entailment
1,1,0,1,0,0,1,entailment
1,0.5,0,1,0,0,1,entailment
1,1,1,0.7916666666666666,0,0,1,contradiction
1,0,0,0.5770676691729323,0,1,0.5223684210526316,neutral
1,1,0,0.25,0,1,0,entailment
1,0.5714285714285714,0,1,0,0,1,entailment
1,0.5,0,0.5882352941176471,0,1,0,entailment
1,0.3333333333333333,1,0.506822612,1,1,0,contradiction
1,1,1,0.24444444444444446,0,-1,1,entailment
1,0.6666666666666666,0,0.5,0,0,0,entailment
1,0,1,0.5846153846153846,0,0,1,entailment
0,1,0,1,1,1,1,contradiction
1,0,0,0.9375,0,1,0,contradiction
1,0.5714285714285714,0,0.4632034632034632,0,0,1,contradiction
1,1,0,0.45,0.3571428571428571,0.7602339181286549,0,neutral
1,1,0,0.35714285714285715,0,0,0,entailment
1,0.5151515151515151,1,1,0,0,-1,entailment
1,0.5625,0,0.7333333333333334,0,1,1,contradiction
1,0.75,0,0.7962962962962963,0,1,0,entailment
1,0,0,1,0,0,0,entailment
1,0,0,0.6386554621848739,0,1,0,contradiction
1,1,0,0.7083333333333333,0,0,0,contradiction
1,1,0,0.5740740740740741,0,0,0,contradiction
