CLASS,Where,What,Who,When,Why,How,Additional information
entailment,1.00,0.5052615404129028,1.00,0.00,0.00,0.00,0.8833333333333333
entailment,1.00,0.9441606998443604,1.00,0.00,0.00,0.00,0.9772727272727273
contradiction,0.265408218,0.36,1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.919730902,-1.00,0.00,0.00,0.00,1.00
neutral,0.715983629,0.224678844,1.00,0.00,0.00,0.00,1.00
neutral,0.970494032,0.061464935541152954,-1.00,0.00,0.00,0.00,1.00
neutral,0.756801486,0.6908599138259888,1.00,0.00,0.00,0.00,1.00
entailment,0.69,0.2799240052700043,1.00,0.00,0.00,-1.00,1.00
neutral,1.00,0.6191250681877136,1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.5200338959693909,1.00,0.00,0.00,-1.00,1.00
neutral,1.00,0.36979806423187256,1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.52,-1.00,0.00,0.00,-1.00,1.00
entailment,1.00,0.9023887515068054,1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.14128535985946655,1.00,0.00,0.00,0.6608695652173913,1.00
neutral,0.2809441387653351,0.14428159594535828,1.00,0.00,-1.00,-1.00,0.8314393939393939
neutral,0.9467133283615112,0.1523878127336502,1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.6327549815177917,1.00,0.00,0.00,0.00,0.7058823529411765
contradiction,0.56,0.2875698208808899,1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.79,1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.75,1.00,0.00,-1.00,0.00,1.00
entailment,1.00,0.6747161149978638,1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.6008259057998657,1.00,0.00,0.00,0.00,1.00
neutral,1.00,0.05,1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.43763595819473267,1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.7982722520828247,1.00,0.00,0.00,0.00,1.00
neutral,1.00,0.23529082536697388,1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.38,1.00,0.00,0.00,0.00,1.00
entailment,0.5449172258377075,0.3654838800430298,1.00,0.00,0.00,0.00,1.00
entailment,0.2178707718849182,0.21638667583465576,1.00,0.00,0.00,0.00,1.00
neutral,1.00,0.2160525619983673,1.00,0.00,0.00,0.00,1.00
neutral,1.00,0.22633835673332214,1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.6964704990386963,-1.00,0.00,0.00,0.00,1.00
contradiction,0.3504739999771118,0.5343248844146729,1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.9110335111618042,-1.00,0.00,0.00,-1.00,1.00
contradiction,0.2222212255001068,0.09,1.00,0.00,0.00,0.00,1.00
neutral,1.00,0.30315014719963074,1.00,0.00,0.00,0.00,1.00
entailment,0.5905424356460571,0.1972610354423523,1.00,0.00,0.00,0.00,1.00
neutral,1.00,0.21837930381298065,1.00,0.00,0.00,-1.00,1.00
neutral,1.00,0.21174994111061096,1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.8149127960205078,1.00,0.00,0.00,0.00,1.00
neutral,1.00,0.3181416988372803,1.00,0.00,0.00,0.00,1.00
neutral,0.7130820751190186,0.09,1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.08,1.00,0.00,0.00,0.00,1.00
neutral,0.11208832263946533,0.03,1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.1990121304988861,1.00,0.00,0.00,0.00,1.00
neutral,1.00,0.4582550823688507,1.00,0.00,-1.00,-1.00,1.00
neutral,1.00,0.6663662195205688,1.00,0.00,-1.00,0.00,1.00
entailment,1.00,0.9207088947296143,1.00,0.00,0.00,0.00,1.00
contradiction,0.10487721115350723,0.046445123851299286,1.00,0.00,0.00,0.00,1.00
neutral,0.09,0.8058227300643921,1.00,0.00,1.00,0.50,1.00
entailment,1.00,0.8667292594909668,1.00,0.00,0.00,0.00,1.00
entailment,0.30135560035705566,0.9789584875106812,1.00,0.00,0.00,0.00,1.00
neutral,0.6977202892303467,0.4547792077064514,-1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.8126060366630554,1.00,0.00,0.00,0.00,1.00
contradiction,0.3045235872268677,0.6818981170654297,1.00,0.00,0.00,0.00,1.00
entailment,1.00,1.00,1.00,0.00,0.00,0.00,1.00
entailment,0.56,0.7948890924453735,1.00,0.00,0.00,0.00,1.00
neutral,0.9117668867111206,0.1151471957564354,1.00,0.00,0.00,0.00,1.00
neutral,0.5853879451751709,1.00,1.00,0.00,0.00,0.00,1.00
