CLASS,Who,Additional information,Where_sb,What_sb,NOUN_NOUN,NOUN_ADJ,NOUN_VERB,NOUN_ADV,ADJ_NOUN,ADJ_ADJ,ADJ_VERB,ADJ_ADV,VERB_NOUN,VERB_ADJ,VERB_VERB,VERB_ADV,ADV_NOUN,ADV_ADJ,ADV_VERB,ADV_ADV
entailment,1,0.8833333333333333,1,0.5052615404129028,3.660994768,0,1.243875429034233,0,0.908510834,0,0,0,0.29370665550231934,0,0.3516177535057068,0,0,0,0,0
entailment,1,0.9772727272727273,1,0.9441606998443604,3.219188727,0.2226792275905609,0.1879449039697647,0,0,1.2249634265899658,0,0,1.1383844465017319,0,0.20315809547901154,0,0,0,0,0
contradiction,1,1,0.2654082179069519,0.3608033359050751,3.2816273868083954,0.22592034935951233,0.7424574047327042,0,1.351210281252861,0,0.8946648240089417,0,0.1991896629333496,0,0.6077767610549927,0,0,0,0,0
contradiction,0,0,1,0.9197309017181396,2.461393177509308,0,0.5610387921333313,0,1.7317150235176086,0,0,0,0.8458878695964813,0,1.699067771434784,0,0,0,0,0
neutral,1,1,0.7159836292266846,0.22467884421348572,1.8604846894741058,0,0,0,0,0,0,0,0.5046740025281906,0,0.23242050409317017,0,0.3571017384529114,0,0,0
neutral,-1,0,0.9704940319061279,0.086362161,3.7765993177890778,0,0.7056891620159149,0,0.5831746459007263,0,0,0,2.353116214,0,0.6852317154407501,0,0,0,0,0
neutral,1,0,0.7568014860153198,0.6908599138259888,2.1182412952184677,0,0.1684938371181488,0,0.5695311427116394,0,0,0,0.367786705,0,0.35227271914482117,0,0,0,0,0
entailment,1,1,0.694443405,0.4297010898590088,2.239357069134712,0.4791162610054016,0.2814866006374359,0,0,1.098477840423584,0,0,2.0090234130620956,0.170792356,0.3087029457092285,0,0,0,0,0
neutral,1,0,1,0.6191250681877136,1.4496366083621979,0.457745224,0,0,0,0,0,0,0,0,0.37517857551574707,0,0,0,0,0
entailment,1,0,1,0.5200338959693909,7.267500363,0,0.6203438639640808,0,3.0717382431030273,0,0,0,1.1566721946001053,0,0.2808052599430084,0,0,0,0,0
neutral,1,1,1,0.36979806423187256,1.5043312460184097,0.5494745671749115,0,0,0.6901228278875351,0.8252273797988892,0,0,0.4133390784263611,0.3840689957141876,0.24496585130691528,0,0,0,0,0
contradiction,-1,1,1,0.517933726,2.9650758653879166,0,0.45624466240406036,0,1.0849319398403168,0,0,0,0,0,0.3521270751953125,0,0,0,0,0
entailment,1,0,1,0.9023887515068054,0.6437068581581116,0,0,0,0,0,0,0,0,0,2.4806475043296814,0,0,0,0,0
contradiction,1,1,1,0.14128535985946655,2.0094209909439087,0,0.6782669425010681,0.16953790187835693,0.47730007767677307,0,0,0,0.2421514391899109,0,0.43301430344581604,0.24054010212421417,0,0,0,0
neutral,1,0.8314393939393939,0.2809441387653351,0.14428159594535828,3.157978780567646,0.34676383435726166,0.19217504560947418,0,0.6561713218688965,0.19136328995227814,0,0,0.744326539,0,0.6766884997487068,0,0,0,0,0
neutral,1,1,0.9467133283615112,0.1523878127336502,2.732247054576874,0,0,0,0,0,0,0,1.280317247,0,0,0,0,0,0,0
entailment,1,0.7058823529411765,1,0.6327549815177917,1.696050375699997,0,2.0502438098192215,0,0.3730534315109253,0,2.680771619081497,0,0,0,1.9075652360916138,0,0,0,0,0
contradiction,1,0,0.560035765,0.2875698208808899,1.3649590909481049,0,0,0,0,0,0,0,0.6483071744441986,0,0,0,0,0,0,0
contradiction,1,0,1,0.789108396,1.5218908786773682,0.2401895821094513,0,0,0.6443435251712799,0.9224328696727753,0,0,0.5410627275705338,0.2767171263694763,0.5768918395042419,0,0.37755486369132996,0,0.29495134949684143,0
entailment,1,1,1,0.74919486,5.089239389,0,1.1584600359201431,0,2.683181121945381,0,0,0,0.8092824816703796,0,1.8938972055912018,0,0,0,0,0
entailment,1,0,1,0.6747161149978638,2.5484471172094345,0,0.801003098,0,1.0034836828708649,0,0.3319433033466339,0,0.4109233617782593,0,0.45189791917800903,0,0,0,0,0
entailment,1,0,1,0.6008259057998657,3.8574303686618805,0,0.8477293252944946,0,2.5409651696681976,0,0,0,0.4768688976764679,0,0.35040298104286194,0,0,0,0,0
neutral,1,0,1,0.045377027,1.1263816952705383,0.11844826489686966,0.6397596001625061,0,0.49949541687965393,0,0.3768908977508545,0,0,0,0,0,0,0,0,0
contradiction,1,1,1,0.43763595819473267,2.720934718847275,0,0,0.14419524371623993,0,0,0,0,0,0,0,0,0,0,0,0
entailment,1,0,1,0.7982722520828247,1.4619992971420288,0,0.28504639863967896,0,1.170387864112854,0,0.43795862793922424,0,0.3848576843738556,0,0.5092678070068359,0,0,0,0,0
neutral,1,1,1,0.23529082536697388,2.695197969675064,1.3798645436763763,0,0,0.6260808929800987,1.1159344613552094,0,0,0,0.41538798809051514,0,0,0.3090733289718628,0.2803947925567627,0,0
entailment,1,1,1,0.379285604,1.2882046699523926,0,0.4239007830619812,0,0,0,0,0,0.41976016759872437,0,0.5111852884292603,0,0,0,0,0
entailment,1,0,0.5449172258377075,0.3654838800430298,2.9253203123807907,0,0.28067538142204285,0,0.5081128478050232,0,0,0,0.3983173221349716,0,0.2874269187450409,0,0,0,0,0
entailment,1,0,0.2178707718849182,0.21638667583465576,2.476641446352005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,1,0,1,0.2160525619983673,1.9538437128067017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,1,1,1,0.22633835673332214,1.247771754860878,0,0.29440729320049286,0,0,0.620335579,0.14626939594745636,0,0.147419274,0,0.40582895278930664,0,0,0,0,0
contradiction,0,0,1,0.6964704990386963,0.7629745602607727,0,0,1.2958157658576965,0.7059339880943298,0,0,0,0,0,0,0,0,0,0,1.6047006845474243
contradiction,1,0,0.3504739999771118,0.5343248844146729,3.703922525048256,0,0.2857917249202728,0,2.0145964175462723,0,0,0,0,0,0.2929517924785614,0,0,0,0,0
entailment,-1,0,1,0.9110335111618042,0,0,0.3393009901046753,0,0,0,0,0,0.5426506400108337,0,0.2550910413265228,0,0,0,0,0
contradiction,1,0,0.2222212255001068,0.089148872,1.8894115388393402,0,0.33588671684265137,0.5046922564506531,0.8437138199806213,0,0.18950966000556946,0.376795694,0,0,0.6838803887367249,0.6463541984558105,0,0,0,0
neutral,1,1,1,0.30315014719963074,1.7836352214217186,0.49643416702747345,0.13916475,0,1.0781727582216263,0.3523111864924431,0.091523901,0,0.31896884366869926,0.046771124,0.9164757244288921,0.062134661,0.6529947742819786,0,0.8136872947216034,0.3031526505947113
entailment,1,0,0.5905424356460571,0.1972610354423523,3.0018753558397293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,1,0,1,0.21837930381298065,1.9820258170366287,0,0.4152997136116028,0,0,0,0,0,0.2589602470397949,0,0.5242958068847656,0,0,0,0,0
neutral,1,1,1,0.21174994111061096,4.095284104347229,1.154517836868763,0,0,1.1401615366339684,1.4276865273714066,0,0,0,0,0,0,0,0,0,0
entailment,1,1,1,0.8149127960205078,2.7671461552381516,0.6462804675102234,0.47922787070274353,0,1.4331690073013306,0,0.2143261879682541,0,0.36289075016975403,0,0.41691866517066956,0,0,0,0,0
neutral,1,1,1,0.3181416988372803,0.6185385584831238,0.460359126,0.2880713939666748,0,0,0,0,0,0,0.48499614000320435,0.258262575,0,0,0,0,0
neutral,1,0,0.7130820751190186,0.085707836,1.2617413103580475,0.17759685218334198,0,0,0.2801716849207878,0.6351968050003052,0,0,0,0,0.24416610598564148,0,0,0,0,0
contradiction,1,0,1,0.081976958,1.929000735282898,0.5284140408039093,0,0,0,0,0,0,0.9060094058513641,0.338101864,0,0,0,0,0,0
neutral,1,0,0.11208832263946533,0.033658151,1.8842162787914276,0,0.17584145069122314,0,2.108184039592743,0,0.26769551634788513,0,0.24060004949569702,0,0.45848315954208374,0,0,0,0,0
entailment,1,1,1,0.1990121304988861,1.2680934220552444,0,0.1629219651222229,2.1708007752895355,0.3189200460910797,0,0.12870463728904724,0.9644375741481781,0.45888887345790863,0,0.1558683067560196,1.0299441516399384,0,0,0,0
neutral,1,0,1,0.4582550823688507,2.3553368747234344,0,0.7838837206363678,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,1,1,1,0.6663662195205688,3.2024738267064095,0.38419075310230255,0.12898431718349457,0,1.045641005039215,0.49082620441913605,0,0,0.2549854516983032,0,0.21352826058864594,0,0,0,0,0
entailment,1,1,1,0.9207088947296143,1.3731759190559387,0,0.5871858,0,1.3907757997512817,0,0,0,0.36087581515312195,0,0.5616514682769775,0,0,0,0,0
contradiction,1,0.5,0.10487721115350723,0.046445123851299286,4.541644215583801,0.8780598640441895,0,0,1.315881997346878,0,0,0,1.8549280762672424,0.45713675022125244,0,0,0.29614314436912537,0,0,0
neutral,-1,0,0.094227634,0.8058227300643921,1.6661410108208656,0.3474849835038185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entailment,1,0,1,0.8667292594909668,3.508682370185852,0,1.108935832977295,0,0,0,0,0,0.34898942708969116,0,0.4887031316757202,0,0,0,0,0
