CLASS,Who,Additional information,Where_sb,What_sb,SUB,VERB,OBJ,CLASS,,,,,,,,,,,,
entailment,1,0.8833333333333333,1,0.5052615404129028,,,,,,,,,,,,,,,,
entailment,1,0.9772727272727273,1,0.9441606998443604,0.781959057,0.156634584,0.187401414,entailment,True,,,,,,,,,,,
contradiction,1,1,0.2654082179069519,0.3608033359050751,0.578660071,0.101199448,0.342250645,contradiction,True,,,,,,,,,,,
contradiction,0,0,1,0.9197309017181396,0.021715891,0.352878541,0.164789557,contradiction,True,,,,,,,,,,,
neutral,1,1,0.7159836292266846,0.22467884421348572,0.477034748,0.113214821,0.329153687,neutral,True,,,,,,,,,,,
neutral,-1,0,0.9704940319061279,0.086362161,0.300339878,0.093180537,0.162943721,neutral,True,,,,,,,,,,,
neutral,1,0,0.7568014860153198,0.6908599138259888,0.190676033,0.389062196,0.537848532,neutral,True,,,,,,,,,,,
entailment,1,1,0.694443405,0.4297010898590088,0.685915887,0.643411756,1.000000119,entailment,True,,,,,,,,,,,
neutral,1,0,1,0.6191250681877136,0.392408669,0.222885087,1.000000119,neutral,True,,,,,,,,,,,
entailment,1,0,1,0.5200338959693909,0.606097937,0.104754433,0.17711544,entailment,True,,,,,,,,,,,
neutral,1,1,1,0.36979806423187256,0.13944672,0.159428462,0.549231887,,False,,,,,,,,,,,
contradiction,-1,1,1,0.517933726,0.405106187,1.000000119,1.000000119,contradiction,True,,,,,,,,,,,
entailment,1,0,1,0.9023887515068054,0.167048201,0.294105291,0.1743716,entailment,True,,,,,,,,,,,
contradiction,1,1,1,0.14128535985946655,0.401852667,0.136455148,0.281638026,contradiction,True,,,,,,,,,,,
neutral,1,0.8314393939393939,0.2809441387653351,0.14428159594535828,0.733025789,0.309754789,0.218126655,neutral,True,,,,,,,,,,,
neutral,1,1,0.9467133283615112,0.1523878127336502,0.112600178,0.84146142,1.000000119,neutral,True,,,,,,,,,,,
entailment,1,0.7058823529411765,1,0.6327549815177917,1,0.228238866,0.128747717,entailment,True,,,,,,,,,,,
contradiction,1,0,0.560035765,0.2875698208808899,0.325933337,0.239287168,0.660637498,contradiction,True,,,,,,,,,,,
contradiction,1,0,1,0.789108396,0.312255532,0.405297339,0.323221922,contradiction,True,,,,,,,,,,,
entailment,1,1,1,0.74919486,0.509814084,0.327548683,1,entailment,True,,,,,,,,,,,
entailment,1,0,1,0.6747161149978638,0.417631447,0.173342913,0.403815955,entailment,True,,,,,,,,,,,
entailment,1,0,1,0.6008259057998657,0.877093434,0.362058043,0.152392,entailment,True,,,,,,,,,,,
neutral,1,0,1,0.045377027,0.571634412,0.259001195,0.356230974,neutral,True,,,,,,,,,,,
contradiction,1,1,1,0.43763595819473267,0.440128803,0.60644424,1.000000119,contradiction,True,,,,,,,,,,,
entailment,1,0,1,0.7982722520828247,0.455315232,0.098746166,0.187930241,entailment,True,,,,,,,,,,,
neutral,1,1,1,0.23529082536697388,0.455880225,0.328639001,0.362114847,neutral,True,,,,,,,,,,,
entailment,1,1,1,0.379285604,0.51525861,0.408247977,0.031654686,entailment,True,,,,,,,,,,,
entailment,1,0,0.5449172258377075,0.3654838800430298,0.524364591,0.098880455,0.324464053,entailment,True,,,,,,,,,,,
entailment,1,0,0.2178707718849182,0.21638667583465576,0.946464717,0.406740129,0.341654003,entailment,True,,,,,,,,,,,
neutral,1,0,1,0.2160525619983673,0.338007212,0.755325854,1.000000119,neutral,True,,,,,,,,,,,
neutral,1,1,1,0.22633835673332214,0.131959215,0.263429463,0.206500694,,False,,,,,,,,,,,
contradiction,0,0,1,0.6964704990386963,0.466681719,0.183607519,0.355590463,contradiction,True,,,,,,,,,,,
contradiction,1,0,0.3504739999771118,0.5343248844146729,0.162271678,0.225079387,1.000000119,contradiction,True,,,,,,,,,,,
entailment,-1,0,1,0.9110335111618042,0.10324242,0.534717143,1.000000119,entailment,True,,,,,,,,,,,
contradiction,1,0,0.2222212255001068,0.089148872,0.636882067,0.157380342,0.274999142,contradiction,True,,,,,,,,,,,
neutral,1,1,1,0.30315014719963074,0.60087049,0.286922932,0.336735129,neutral,True,,,,,,,,,,,
