Who,Where,When,What,Why,How,Additional information,CLASS
0.8,0,0,0.833333333333333,0,0,0,entailment
0.947368421052632,0,0,1,0,0,1,entailment
1,0.769230769230769,0,0.833333333333333,0,0,0,contradiction
0.666666666666667,0,0,1,0,0,0,contradiction
1,1,0,0.769230769230769,0,0,0,neutral
0.666666666666667,1,0,0.714285714285714,0,0,0,neutral
1,1,1,1,1,0.5,1,neutral
1,1,0,1,0,0.625,0,entailment
1,0.5,1,0.888888888888889,1,1,1,neutral
1,0,0,1,0,0,0,entailment
1,0,0,0.857142857142857,0,0,0,neutral
0.705882352941176,0,0,0.761904761904762,0,0.8,0,contradiction
1,0,0,1,0,0,0,entailment
1,0,0,0.75,0,0.8,0,contradiction
1,0.666666666666667,0,0.714285714285714,0,0,1,neutral
1,1,0.571428571428571,0.5,0,0,0.666666666666667,neutral
1,0,0,1,0,0,0.705882352941176,entailment
0.857142857142857,0.888888888888889,0,0.666666666666667,0,0,0,contradiction
0.666666666666667,0,0,1,0,0,0,contradiction
1,0,0,1,0,0,0,entailment
1,0,0,0,0,0,0,entailment
1,0,0,1,0,0,0,entailment
1,0,0,0,0,0,0,neutral
1,0,0,0.9,0,0,0,contradiction
1,0,0,1,0,0,0,entailment
1,0,0,0.666666666666667,0,0,0,neutral
1,0,0,0.888888888888889,0,0,0,entailment
0,1,0,0.705882352941176,0,0,0,entailment
0.8,0.769230769230769,0,0,0,0,0,entailment
1,0,0,0.769230769230769,0,0,0,neutral
1,0,0,0.666666666666667,0,0,0,neutral
0.75,0,0,1,0,0,0,contradiction
0.857142857142857,0.625,0,1,0,0,0,contradiction
0,0,0,0.2,0,0,0,entailment
0.8,0,0,0.5,0.5,0,0,contradiction
1,0,0,1,0,0,0,neutral
1,1,0,0,0,0,0,entailment
0.909090909090909,0,0,0.8,0,0,0,neutral
1,0,0,1,0,0,0,neutral
1,0.5,0,1,0,0,0.5,entailment
1,0,0,0,0,0,0,neutral
1,1,0,0.555555555555556,0,0,0,neutral
1,0,0,0.666666666666667,0,0,0,contradiction
1,0.666666666666667,0,0.777777777777778,0,0,0,neutral
1,0,0,0.857142857142857,0,0,0,entailment
1,0.5,0,0.941176470588235,0,0,0,neutral
1,0,0,1,0,0,0,neutral
0,0,0,1,0,1,0,entailment
1,0,0,0,0,0,0.5,contradiction
1,0.5,0.2,1,1,0.5,0.5,neutral
1,0,0,1,0,0,0,entailment
1,0,0,1,0,0,0.5,entailment
0.941176470588235,1,0,0.588235294117647,0,0,0,neutral
0.8,0,0,1,0,0,0,entailment
1,0,0,1,0,0,0,contradiction
1,0,0,1,0,0,0,entailment
0,0,0,0,0,0,0,entailment
0.909090909090909,1,0,0.625,0,0,0,neutral
1,1,0,0,0,0,0,neutral
0,0,0,0,0,0,0,neutral
1,0.75,0,0.555555555555556,0,0,0,neutral
1,0,0,0.5,0,0,0,neutral
1,1,0,1,0,0,0,neutral
0,0.5,0,0.705882352941176,0,0,0,entailment
1,0,0,1,0,0.5,1,entailment
1,0,0,1,0,0,0,contradiction
1,0,0,1,0,0,0,entailment
0.947368421052632,1,0,0,0,0,0,entailment
0.8,0,0,1,0,0,0,neutral
0.705882352941176,0,0,0.8,0,0,0,contradiction
1,1,0,0.615384615384615,0,0,0,entailment
0.705882352941176,0,0,0.666666666666667,0,0,0,contradiction
0.947368421052632,0,0,0.666666666666667,0,0,0,contradiction
0.705882352941176,0.666666666666667,0,0,0,0,1,contradiction
1,0,0,1,0,0,0,neutral
1,0,0,0.571428571428571,0,0,1,entailment
1,0.666666666666667,0,1,0,0,0,entailment
1,1,0,1,0,0,0,entailment
1,0.5,0,1,0,0,0,entailment
1,0,0,1,0,0,0,contradiction
0.9,0,0,1,0,0.666666666666667,1,neutral
1,0,0,0.5,0,0,0,entailment
0.8,0.571428571428571,0,0,0,0,0,entailment
1,0,0,0.588235294117647,0,0,0,entailment
0.833333333333333,0.5,0,0.888888888888889,0,0,0,contradiction
1,0,0,0.4,0,0,0,entailment
1,1,0,0.5,0,0,0,entailment
1,0,0,0.769230769230769,0,0,0,entailment
0,0,0,0,0,0,0,contradiction
1,0,0,1,0,0,0,contradiction
0.909090909090909,0.571428571428571,0,0.545454545454545,0,0,0.5,contradiction
1,0,0,0.5,1,0.888888888888889,0,neutral
1,0,0,0.714285714285714,0,0,0,entailment
0.9,0.545454545454545,0,0,0,0,0,entailment
0.9,0.625,0,0.8,0,0.615384615384615,0.5,contradiction
0.947368421052632,0,0,1,0,0,0,entailment
1,0,0,1,0,0,0,entailment
0.705882352941176,0,0,0.705882352941176,0,0,0,contradiction
1,0,0,0.75,0,0,0,contradiction
1,0,0,0.666666666666667,0,0,0,contradiction
