Who,Where,When,What,Why,How,Additional information,Who,Where,When,What,Why,How,Additional information,CLASS
0.696783065795898,0.076059915,1,0.505261540412903,1,1,1,0.8,0,0,0.833333333333333,0,0,0,entailment
0.762581825256348,1,1,0.94416069984436,1,1,0.699488401412964,0.947368421052632,0,0,1,0,0,1,entailment
0.881357073783875,0.265408217906952,1,0.360803335905075,1,1,1,1,0.769230769230769,0,0.833333333333333,0,0,0,contradiction
0.153366237878799,1,1,0.358316004276276,1,1,1,0.666666666666667,0,0,1,0,0,0,contradiction
0.91990315914154,0.715983629226685,1,0.224678844213486,1,1,1,1,1,0,0.769230769230769,0,0,0,neutral
0.35554164648056,0.970494031906128,1,0.012387009337545,1,1,1,0.666666666666667,1,0,0.714285714285714,0,0,0,neutral
0.627316952,0.93157696723938,0.187566116452217,0.690859913825989,0.187566116452217,0.350854158401489,0.187566116452217,1,1,1,1,1,0.5,1,neutral
1,1.00000011920929,1,0.279924005270004,1,0.13744929432869,1,1,1,0,1,0,0.625,0,entailment
0.575025320053101,0.19680717587471,1.00000011920929,0.619125068187714,1.00000011920929,1.00000011920929,1.00000011920929,1,0.5,1,0.888888888888889,1,1,1,neutral
0.684819400310516,1,1,0.520033895969391,1,0.177777871489525,1,1,0,0,1,0,0,0,entailment
1.00000023841858,1,1,-0.011613283,1,1,1,1,0,0,0.857142857142857,0,0,0,neutral
0.287412464618683,1,1,0.517933726,1,0.097933948,1,0.705882352941176,0,0,0.761904761904762,0,0.8,0,contradiction
0.665625035762787,1,1,0.902388751506805,1,1,1,1,0,0,1,0,0,0,entailment
0.238589227199554,1,1,0.141285359859467,1,0.246887385845184,1,1,0,0,0.75,0,0.8,0,contradiction
0.441087156534195,0.280944138765335,0.198510810732842,0.144281595945358,0.175535649,0.149188131093979,0.541860282421112,1,0.666666666666667,0,0.714285714285714,0,0,1,neutral
0.91990315914154,0.946713328361511,1,0.15238781273365,1,1,1,1,1,0.571428571428571,0.5,0,0,0.666666666666667,neutral
1.00000011920929,1,1,0.632754981517792,1,1,0.144497245550156,1,0,0,1,0,0,0.705882352941176,entailment
1,0.560035765,1,0.28756982088089,1,1,1,0.857142857142857,0.888888888888889,0,0.666666666666667,0,0,0,contradiction
0.621085166931152,1,1,0.789108396,1,1,1,0.666666666666667,0,0,1,0,0,0,contradiction
0.690780639648438,1,1,0.74919486,0.270817041397095,1,1,1,0,0,1,0,0,0,entailment
1.00000011920929,0.144643530249596,1,1,1,1,1,1,0,0,0,0,0,0,entailment
0.83877444267273,1,1,0.600825905799866,1,1,1,1,0,0,1,0,0,0,entailment
0.896134853363037,1,1,0.236791461706161,1,1,1,1,0,0,0,0,0,0,neutral
1,1,1,0.437635958194733,1,1,1,1,0,0,0.9,0,0,0,contradiction
0.510677397251129,1,1,0.798272252082825,1,1,1,1,0,0,1,0,0,0,entailment
0.61428427696228,1,1,0.235290825366974,1,1,1,1,0,0,0.666666666666667,0,0,0,neutral
0.794848382472992,1,1,0.379285604,1,1,1,1,0,0,0.888888888888889,0,0,0,entailment
1,0.999999940395355,1,0.032397136092186,1,0.249116003513336,1,0,1,0,0.705882352941176,0,0,0,entailment
0.499030232429504,0.217870771884918,1,1,1,1,1,0.8,0.769230769230769,0,0,0,0,0,entailment
0.712086200714111,1,1,0.216052561998367,1,1,1,1,0,0,0.769230769230769,0,0,0,neutral
0.891482949,1,1,0.226338356733322,1,1,1,1,0,0,0.666666666666667,0,0,0,neutral
0.456863343715668,1,1,0.696470499038696,1,1,1,0.75,0,0,1,0,0,0,contradiction
0.184032827615738,0.350473999977112,1,0.534324884414673,1,1,1,0.857142857142857,0.625,0,1,0,0,0,contradiction
1,1,1,0.911033511161804,1,1,0.277109533548355,0,0,0,0.2,0,0,0,entailment
0.795819222927094,0.222221225500107,0.187566116452217,0.089148872,-0.009505197,0.187566116452217,0.187566116452217,0.8,0,0,0.5,0.5,0,0,contradiction
0.594036519527435,1,1,0.303150147199631,1,1,1,1,0,0,1,0,0,0,neutral
0.790394664,0.590542435646057,1,1,1,1,1,1,1,0,0,0,0,0,entailment
0.604166030883789,0.250795364379883,0.187566116452217,0.218379303812981,0.187566116452217,0.026424705982208,0.187566116452217,0.909090909090909,0,0,0.8,0,0,0,neutral
0.522790551185608,1,1,0.346214890480041,1,1,1,1,0,0,1,0,0,0,neutral
0.880472302436829,0.254312247037888,0.187566116452217,0.814912796020508,0.187566116452217,0.187566116452217,0.278596937656403,1,0.5,0,1,0,0,0.5,entailment
0.898702323436737,1,1,0.229492247104645,1,1,1,1,0,0,0,0,0,0,neutral
0.981593310832977,0.713082075119019,1,0.085707836,1,1,1,1,1,0,0.555555555555556,0,0,0,neutral
0.829604089260101,1,1,0.081976958,1,1,1,1,0,0,0.666666666666667,0,0,0,contradiction
0.251621305942535,0.112088322639465,1,0.033658151,1,1,1,1,0.666666666666667,0,0.777777777777778,0,0,0,neutral
0.426505595445633,1,1,0.199012130498886,1,1,1,1,0,0,0.857142857142857,0,0,0,entailment
1.00000011920929,0.35808527469635,0.187566116452217,0.458255082368851,0.154802232980728,0.230981409549713,0.187566116452217,1,0.5,0,0.941176470588235,0,0,0,neutral
1.00000011920929,1,1,0.666366219520569,-0.004531978,1,1,1,0,0,1,0,0,0,neutral
1,1,1,0.824008464813232,1,0.920708894729614,1,0,0,0,1,0,1,0,entailment
0.397011280059814,0.104877211153507,1,1,1,1,-0.013458885,1,0,0,0,0,0,0.5,contradiction
0.802969694137573,0.094227634,0.281859964132309,0.805822730064392,0.623522400856018,0.272502392530441,0.007665038,1,0.5,0.2,1,1,0.5,0.5,neutral
1.00000023841858,1,1,0.866729259490967,1,1,1,1,0,0,1,0,0,0,entailment
