antonimos,CLASS
0,entailment
0,entailment
0,contradiction
0,contradiction
0,neutral
0,neutral
0,neutral
0,entailment
0,neutral
0,entailment
0,neutral
0,contradiction
0,entailment
0,contradiction
0,neutral
0,neutral
0,entailment
0,contradiction
1,contradiction
0,entailment
0,entailment
0,entailment
0,neutral
0,contradiction
0,entailment
0,neutral
0,entailment
0,entailment
0,entailment
0,neutral
0,neutral
1,contradiction
1,contradiction
0,entailment
0,contradiction
0,neutral
0,entailment
0,neutral
0,neutral
0,entailment
0,neutral
0,neutral
0,contradiction
0,neutral
0,entailment
0,neutral
0,neutral
0,entailment
2,contradiction
0,neutral
0,entailment
0,entailment
0,neutral
0,entailment
0,contradiction
0,entailment
0,entailment
0,neutral
0,neutral
0,neutral
0,neutral
0,neutral
0,neutral
0,entailment
0,entailment
0,contradiction
0,entailment
0,entailment
0,neutral
1,contradiction
0,entailment
1,contradiction
0,contradiction
0,contradiction
0,neutral
0,entailment
0,entailment
0,entailment
0,entailment
0,contradiction
0,neutral
0,entailment
0,entailment
0,entailment
1,contradiction
0,entailment
0,entailment
0,entailment
1,contradiction
1,contradiction
0,contradiction
0,neutral
0,entailment
0,entailment
0,contradiction
0,entailment
0,entailment
0,contradiction
0,contradiction
0,contradiction
