Who,Where,When,What,Why,How,Additional information
A person,,,works with meals,,,in appropriate institution protection
a guy,,,makes a speech,,,in a red top and tie
A boy,in his bed,,sleeps,,,
Nobody,,,is standing,,,
The child,from the fountain,,is getting wet,,,
Two clowns,at a mall,,performing,,,
A man,In front of an ad for beer,,Posing,,,
People,Courtyard,,Walk through,,,Dressed in Japanese clothing
Kids,,,Enjoying the cold weather,,,
a girl,,,wears a dog tag,,with a helmet,
A fat woman,,,is wearing pants,,,
Two men,,,Cut grass,,By hand,
Two people,,,drumming,,,
A person,,,drives away,,in a winnebago,
Woman,Museum,,Taking a break,To rest and relax,By sitting down,Her children are sitting by her feet
The child,on the swing,,is a girl,,,
A man,,,kissing,,,a woman
Someone,Near the lake,,Having a picnic,,,
a woman,,,holding a scruffy cat,,,
A woman,,,preparing food,for a child,,
A woman,,,Standing at a microphone,,,
A girl,,,wearing a hat,,,
A young gymnast,,,is performing,,,
a guy,,,a basketball,,,
Girls,,,making posters,,,
An old woman,,,has a light jean jacket,,,
The man,,,playing a game,,,
Vehicles,Thailand,,going down a street,,,
People,Near a lot of reading materials,,are,,,
Some of the people,,,are wearing sunglasses,,,
Two men,,,complimenting each other on their blue shirts,,,
An adult,,,upside down,,,
A group of women,in a gym,,playing basketball,,,
,,,celebration,,going on,
Two people,in front of a cactus,,Talking loudly,,,
A woman,,,looks away after recognizing her ex-boyfriend kissing his new girl,,,
The girls,inside a school,,are,,,
The father and son,,,Repairing the sign,,By using tools and materials,
The older woman,,,is the mother of the young boy,,,
The lady,,,Talking on her phone,,,
The person,,,is trying to be sneaky,,,
The African woman,In the fields,,Looking for someone,,,
The men,,,are perfectly free of mud,,,
The school kids,during recess,,are relaxing,,,
The man,,,not wearing a shirt,,,
A group of people,,,Analyze art,To gain a deeper understanding and appreciation of the art,"Together, as a group",
A girl,,,captures a butterfly,for a science fair project,,
A kayak,,,being ridden,,,
The person,in the middle of the ocean,,is,,,alone
Young children,under a large Christmas tree,,open presents,to celebrate the holiday,excitedly and with joy,
A boy,,,pitches the ball,,,
A raven haired woman,seen by the crowd,,holding a white opened umbrella,,,
A recently engaged couple,on the street,,embrace,,,
A person,,,rides a skateboard,,,
A girl,Mars,,jumping rope,,,
A woman,,,rises from a chair,,,
Three people,in nature,,is,,,
A bird,on a lake,,looking for food,,,
A singer,On American Idol,,,,,
An older man,,is sweeping his patio,,,while a passerby enters a building,
Two people,In a bike race,,Participating in a race,,,
The person,,,is a woman,,,
Women,at a library,,looking at books on sale,,,
The dog,outside,,is,,,
A woman,,,opening a box,,while a half concealed man manipulates a handheld device,The woman is wearing green clothing.
The woman,,,not going to finish the race,,,
A man,,,making pottery,,,
A guy,on the bus,now,riding,,,
A person,,,with a great tattoo,,,
A woman,,,is wearing a mask,,,
Four kids,on a beach,,pose,,,
A woman,,,putting on mascara,,,
A man,,,eats a hamburger,,,while his friend asks for a bite.
The boy,On top of his dad's truck,,is sitting,,,
A young couple,,,is very much in love,,,
A man,,,holding out his hand,,,in red
A boy,outside,,running,,,
A woman,On stage,,Singing,,,
The boy,outside,,walking,,,
The sports fans,,,are wearing yellow,,,
A wide receiver,on the field,during a game,trying to make a catch,to help their team score points,by using their skills and athleticism,The wide receiver may be facing defenders and trying to catch a pass thrown by the quarterback.
A man,,,damaged something,,,
People,outside,,are,,,
A woman,Observing,,A camera,,,
A girl,In her living room,,Playing the piano,,,
A boy,,,dressed for summer,,,in a green shirt and khaki shorts
A dog,on the beach,,is,,,
A skier,,,preparing a trick,,,
Two fathers,into a foyer,,maneuver their baby strollers,,,
The man,,,blue sunglasses,,,
A child,into a pool,,does a cannonball,,,
Laura Bush,,,giving a talk,about the importance of literacy,to young people,
Men,,,in wetsuits,,,
The batsman,On a different team,,is,,,Than the others around the pitching mound.
A boy,His living room,,Watching a movie,,,
a bunch of guys,,,stand together,,,in colorful clothes
woman,,,holds baby,,,
A man,,,painting a tree,,,
The children,,,doing chores,,,
One of the men,,,is actually sasquatch,,,
