Who,Where,When,What,Why,How,Additional information
A man,,,handling food in a tray,,,"wearing a blue shirt, black apron, eyeglasses, and a mask"
A man,wedding reception,during the reception,making a speech,to give a toast or speech at the wedding,standing up,dressed in a red shirt and black tie
A young boy,across a road,,runs,,in front of,a sky blue building with barred windows.
An Asian woman,on a path,,standing ,,with a basket on her head and looking into a mirror she is holding in her hand,
A child,next to a fountain,,playing,,,in a maroon shirt
A man dressed in orange clothing with face covered and another similarly dressed man,At a shopping mall,,is seemingly balancing on a cane,,being held by the other man who is sitting crossed legged on the ground,
An old man,in front of an advertisement,,poses with a package,,,
People,Courtyard Paved with paving stones,,Walking in a procession,,,Dressed in traditional Japanese garb
Two children,by the side of the road,,Play in the snow,,,
Blond-haired girl,,,"Wearing a bicycle helmet, a black t-shirt that reads ""Twizzlers"" and a printed dog tag necklace around her neck",,,
A fat woman,,,wearing faint blue top,,,blowing soap bubble
A father and his daughter,down a street,,riding a lawn mover,,,dressed in American colors
Two men,,,are drumming,,one is standing and one is sitting down,
Three men and another person,On a boat,,Carrying a red bag,,By hand,Another boat in the background
A woman wearing a red coat,on a wood floor,,stands in front of several paintings,,,Two girls sit on the floor at her feet.
a child,on a swing,as the sun breaks through the trees,riding a swing,,,The child is enjoying the warmth and beauty of the sun breaking through the trees while playing on the swing.
A man,On a public street,,Kisses a woman,,While standing,Wearing a white short-sleeved shirt and a light pink jacket
Someone,in the water,,splashing,,,
An elderly lady,,,holding a scruffy dog,and smiling contently,,
An Asian woman,,,preparing a bowl of food,,,"for the younger Asian boy sitting nearby, while an Asian man eats a roll and prepares to take some food up with his chopsticks."
A woman,,,holding a microphone in one hand,,her mouth is open,
A young girl,in a river next to a big rock,,wearing a white t-shirt and a blue skirt and a light colored hat,,,
A gymnast,,,using a set of paralleled bars,,,
A guy,,,with a football,,,A crowd watching him.
Seven young girls,,,are being creative and making posters,,,
An old man and an old woman,Outside,,Standing,,Covered mostly in shadow,The old man is wearing a baseball hat and the old woman is wearing a jean jacket.
A man,,,throwing a small white ball,,,at some red cups
Several street vehicles , traditional architecture style Thailand,,pass by ,,,
