,SUB,SUBM,AT,VERB,VERBM,OBJ,IOBJ,TIME,MANNER,CAUSE,PURPOSE,COMPANY,INSTRUMENT,SUBJECT,MATTER,CONCESSION,QUANTITY,OWNERCHIP,DOUBT,AC,RC,PC
0,man,dressed in a red shirt and black tie,,stands up,at a wedding reception,to make a speech,,,,,,,,,,,,,,,,
1,boy,young,,runs,,road,,across,with barred windows,,,,,,,,,,,,,
2,Asian woman,An,,standing,is,path,,,,,,,,,,,,,,,,looking into a mirror she is holding in her hand
3,child,in a maroon shirt,,playing,next to a fountain,,,,,,,,,,,,,,,,,
4,man,dressed in orange clothing with face covered,,balancing,seemingly,cane,,,sitting crossed legged on the ground,,,a similarly dressed man,,,,,,,,,,being held by a similarly dressed man
5,old man,with a package,old,poses,in front of,advertisement,,,,,,,,,,,,,,,,
6,People,dressed in traditional Japanese garb,,walk,in a procession,,,,,,,,,,,,,,,,,paved with paving stones
7,Two children,,,play,,,,,,,,,,,,,,,,,,by the side of the road
8,girl,blond-haired,"wearing a bicycle helmeta black t-shirt that reads ""Twizzlers""a printed dog tag necklace around her neck",is,,,,,,,,,,,,,,,,,,
9,father and his daughter,,,riding,,lawn mover,street,,,,,,,,,,,,,,,dressed in American colors
10,two men,,,are drumming,,,,,,,,,,,,,,,,,,one is standing one is sitting down 
11,three men,,,are carrying,,a red bag,,,,,,with another person,,,,,,,,,,in the background
12,woman,wearing a red coat,,stands,on a wood floor,,,,,,,,,,,,,,,,,while two girls sit on the floor at her feet
13,sun,the,,breaks,through,trees,,,,,,,,,,,,,,,,as a child rides a swing
14,man,wearing,a white short-sleeved shirt,kisses,,woman,,,,,,,,,,,,,,,,woman wearing a light pink jacket
15,someone,,,splashing,,,,,,,,,,,,,,,,,,
16,lady,elderly,holdingsmiling,,scruffy,dog,,,,,,,,,,,,,,,,contently
17,Asian woman,in a purple shirt,,preparing,a bowl of food,for the younger Asian boy,,,,,,,,,,,,,,,,while an Asian man eats a roll and prepares to take some food up with his chopsticks.
18,woman,,,holding,,microphone,,,in one hand,,,,,,,,,,,,,her mouth is open 
19,girl,young,white t-shirtblue skirtlight colored hat,stands,,,,,next to a big rock,,,,,,,,,,,,,
20,gymnast,,,using,,a set of paralleled bars,,,,,,,,,,,,,,,,
21,guy,with a football,,watching,him,crowd,,,,,,,,,,,,,,,,
22,seven young girls,young,seven,are being,creative and making,posters,,,,,,,,,,,,,,,,
23,an old man and an old woman,in a baseball hat and in a jean jacket,old,are standing,outside,,,,,,,,,,,,mostly,,,,,covered mostly in shadow
24,man,a,none,throwing,none,ball,cups,,at,,,,,,,,,,,,,
25,Several street vehicles,,,pass,,a traditional architecture style of Thailand,,,,,,,,,,,,,,,,
26,man and a woman,,,at the side,,a table,,,,,,,,,,,,,,,,covered in books
27,Two guys,in blue shirts,,talking,,,,,,,,,,,,,,,,,,
28,child,,,hanging,upside down,,,,,,,,with his legs,,,,,,,,,over a pole
29,four young men,young,four,stare,up,basketball hoop,,,,,,,,,,,,,,,,"with no net, in an urban basketball court"
30,group,of people,celebrating,,in the street,,,,,,,,,,,,,,,,,
31,a mana woman,,,stand,,,,,,,,,,,,,,,,,,contemplating a single thought
32,woman,casually dressed young blond,,is looking,away sadly,,,,as couple near her are kissing,,,,,,,,,,,,,
33,girls,,,giving,,a presentation,,,,,for a school class,,,,,,,,,,,
34,a man and a child,,,painting,,a post,,,,,,,,,,,,,,,,
35,boy,young,holdingred toywearinggreen snowman and reindeer pajamas,with,an older woman,couch,him,,,,,,,,,,,,,,,
36,,with blue jeans and a brown shirt,,is speaking,on her cellphone,,,,,,,,,,,,,,,,,
37,person,obscured in shadow,,in,a gymnasium,,,,,,,,,,,,,,,,,
38,African woman,,,walking,,,,,,,,,,,,,,,,,,
39,Men,,,playing,,rugby,,while,covered in mud,,,,,,,,,,,,,
40,man,shirtless,cropped hair,smokes,,cigarette,,,,,,,,,,,,,,,,ties a plastic bag
41,group,of people,,stares,at,wall,,,that is filled with drawings,,,,,,,,,,,,,
42,girl,with curly hair and wearing a patriotic shirt,,is looking,at a monarch butterfly sitting,monarch butterfly,on her left index finger,now,with curiosity,because of its beauty,to admire,with her friends,with her left index finger,the monarch butterfly,with its vibrant colors,despite her fear of insects,only one,,if it will fly away,,,
43,blue kayak,the,blue,is being ridden,over,small waterfall,,,,,,,,,,,,,,,,
44,person,in a large pink triangle-shaped costume,,waves,as,,,,,,,,,,,,,,,,,smile back
45,group,of children,a,getting,their picture taken,with presents,,,,,,,,,,,,,,,,
46,boy,"in an orange ""Spring Hill"" ball team uniform",,pitching,the ball,,,,,,,,,,,,,,,,,
47,woman,"young, dark-haired","red sun visor, open white umbrella",holding,amidst a crowd of people,umbrella,,,,,,,,,,,,,,,,
48,two people,in coats,,kiss,on the side of a road,,,,,,,,,,,,,,,,,
49,young man,in an orange shirt,,maneuvers,a skateboard,,,,,,,,,,,,,,,,,
50,girl,,,jumps,,,,,,,,,,,,,,,,,,
51,woman,with short blond-hair,,rises,from a chair,,,,,,,,,,,,,,,,,laughter another woman in a burgundy shirt 
52,Three people,,,are,,,,,,,,,,,,,,,,,,
53,swan,,,landing,,,,,,,,,,,,,,,,,,
54,singer,wearing a leather jacket,,performs,on stage,,,,,,,,,,,,,,,,,
55,two people,,,bicycle,,,,,,,,,,,,,,,,,,separated by small mountains
56,person,in a red shirt and black pants,,hunched,over,,,,,,,,,,,,,,,,,
57,six older women,older,,are standing,,,,,smiling and looking through books and other material displayed on the table,,,,,,,,,,,,,
58,dog,brownblack,,rubs,,face,grass,,,,,,,,,,,,,,,
59,woman,in a green sweater,by a table with several boxes and two coffee cups on it,is opening,a small box,,another person (whose head cannot be seen),now,with a small handheld electronic device,to operate the device,to open the box,with another person,a small handheld electronic device,woman,,despite the small size of the box,one,,whether the box will open,,,is operating a small handheld electronic device
60,woman,a,finishing,race,a marathon,,,,,,,,,,,,,,,,,
61,man,,,trying,,pottery,,soon,,,to make,,,,,,,,,,,that he can market
62,,with a beard,,sitting,,,,,,,,,,,,,,,,,,
63,man,with a full face mask,,sits,on a sidewalk,guitar,,,playing,,,,,,,,,,,,,
